#{"t_start": 1662526856.1005747, "env_id": "zinc-coating-v0"}
r,l,t
-3549.123467,2500,0.581423
-3408.898839,2500,7.138722
-3229.131902,2500,13.840094
-2724.305123,2500,20.458789
-3020.716757,2500,39.054158
-2070.112985,2500,57.592208
-2024.797335,2500,75.968226
-2105.999719,2500,94.503556
-2067.827968,2500,113.32652
-1977.643413,2500,131.932402
-2288.959559,2500,150.378281
-2133.164938,2500,168.844864
-1972.623556,2500,187.37357
-2168.134426,2500,205.512808
-1938.915158,2500,223.911868
-1913.115895,2500,242.208656
-1460.248796,2500,260.411617
-2285.083121,2500,278.767835
-1337.635651,2500,297.04278
-2640.703648,2500,315.490114
-2011.309375,2500,333.988102
-2437.885432,2500,352.545032
-2344.625644,2500,371.158267
-3291.086651,2500,389.536968
-1810.011885,2500,407.917875
-1855.745094,2500,426.389014
-1837.087986,2500,444.638353
-1157.673928,2500,462.981306
-1787.956855,2500,481.346096
-1473.289903,2500,499.591061
-1582.189485,2500,517.691262
-1729.756071,2500,536.052266
-1916.907996,2500,554.381945
-1468.391458,2500,572.540252
-1879.283778,2500,590.598485
-846.718294,2500,608.997386
-1310.347359,2500,627.246292
-2952.098418,2500,645.819861
-1235.744954,2500,664.222301
-2770.194931,2500,682.643692
-2046.758052,2500,700.949926
-1476.003763,2500,719.232222
-1563.912029,2500,737.370548
-1736.418065,2500,755.502059
-1272.361601,2500,773.882511
-1449.086082,2500,791.776668
-1694.820092,2500,809.806156
-1958.854614,2500,827.828441
-1661.474639,2500,846.278358
-2220.636909,2500,864.440839
-1849.798429,2500,882.587306
-1677.382376,2500,900.758058
-2579.412354,2500,919.313281
-1906.798959,2500,937.504198
-962.742327,2500,955.86428
-2169.291192,2500,974.332176
-1038.543903,2500,992.521582
-983.000305,2500,1010.744098
-1599.668944,2500,1028.974285
-1225.766084,2500,1046.940718
-2357.297223,2500,1065.257695
-1341.288602,2500,1083.232159
-955.66927,2500,1101.518751
-1459.871903,2500,1119.528661
-3197.388368,2500,1137.375102
-1709.055033,2500,1155.335175
-1438.527812,2500,1173.565627
-929.180505,2500,1191.815127
-963.268301,2500,1210.061912
-2392.266501,2500,1228.100203
-2153.921998,2500,1246.173088
-966.581895,2500,1264.181592
-2124.140671,2500,1282.450166
-542.396976,2500,1300.292316
-874.43137,2500,1318.202136
-1069.433263,2500,1336.466377
-1537.924377,2500,1354.562495
-841.130332,2500,1372.602789
-554.6199,2500,1390.659179
-942.759937,2500,1408.593691
-1546.512186,2500,1426.785927
-1891.23145,2500,1445.0641
-1329.581811,2500,1463.274124
-1109.334041,2500,1481.516575
-1299.71194,2500,1499.761932
-1228.86285,2500,1517.94398
-1286.630991,2500,1535.799606
-1860.784267,2500,1553.871696
-1444.401458,2500,1571.70226
-1637.268985,2500,1589.967935
-850.69566,2500,1608.369847
-1332.886158,2500,1626.824776
-1288.874524,2500,1645.042301
-1629.651786,2500,1663.408067
-1288.499212,2500,1682.642202
-1464.679841,2500,1701.096401
-1066.981346,2500,1719.186327
-623.299244,2500,1737.159718
-902.788212,2500,1755.13434
-2160.653172,2500,1773.145321
-994.769899,2500,1791.385518
-2928.32563,2500,1809.652229
-2289.279391,2500,1827.994388
-572.43967,2500,1846.172594
-1055.537057,2500,1864.341902
-2353.082209,2500,1882.552263
-1595.364993,2500,1900.660205
-1884.087875,2500,1918.759069
-1689.118373,2500,1936.893917
-939.970493,2500,1954.800099
-1063.754666,2500,1972.636619
-2741.419203,2500,1990.636999
-1515.241252,2500,2008.639982
-2786.217141,2500,2026.360119
-2101.724833,2500,2044.33122
-2007.123457,2500,2062.420544
-2085.848611,2500,2080.4951
-2742.184992,2500,2098.432362
-1290.695619,2500,2116.408419
-1482.788981,2500,2134.544954
