#{"t_start": 1662517166.2122438, "env_id": "zinc-coating-v0"}
r,l,t
-2860.561903,2500,0.599015
-2518.289304,2500,7.303108
-3335.962151,2500,13.966979
-2637.290732,2500,20.625799
-2557.779822,2500,37.958428
-2417.894557,2500,55.248369
-2061.080654,2500,72.730104
-2704.102198,2500,89.940629
-1928.022697,2500,107.217873
-1612.780525,2500,124.812289
-1751.096579,2500,142.043303
-1746.387841,2500,159.385074
-1798.776035,2500,176.918323
-2039.915543,2500,194.284263
-1882.446559,2500,211.594546
-1664.293109,2500,228.909689
-1837.055027,2500,246.330634
-1760.628982,2500,263.616203
-1926.649253,2500,281.022705
-2088.503583,2500,298.177204
-2075.317532,2500,315.786366
-1752.319653,2500,332.956164
-2054.172834,2500,350.070763
-2191.848632,2500,367.153644
-2031.839921,2500,384.322096
-1493.257678,2500,401.746573
-1539.604628,2500,419.062849
-1791.066382,2500,436.392662
-2588.425399,2500,453.873934
-1775.892191,2500,471.444183
-2011.108071,2500,488.918771
-2117.545237,2500,506.12875
-1433.629894,2500,523.401977
-1875.526234,2500,540.892237
-1580.350643,2500,558.362573
-2556.983511,2500,575.683751
-2015.88327,2500,593.349745
-1875.732355,2500,610.541391
-1757.348367,2500,627.854453
-1612.913961,2500,645.221541
-2020.181985,2500,662.670107
-2191.378356,2500,679.921324
-1888.701639,2500,697.138704
-1202.381112,2500,714.516574
-2080.141706,2500,731.942254
-2881.808804,2500,748.888715
-1361.354551,2500,765.942359
-1170.450119,2500,783.468585
-1333.005533,2500,800.521169
-1570.060903,2500,817.680587
-1636.466445,2500,834.89938
-1959.424643,2500,852.057371
-1610.427416,2500,869.137135
-2505.180005,2500,886.431186
-1633.028669,2500,903.718185
-1384.17415,2500,920.884224
-1938.632228,2500,938.305898
-1403.159305,2500,955.460673
-2636.745451,2500,972.514414
-1362.883424,2500,989.736541
-1845.390548,2500,1006.898012
-1505.428205,2500,1023.752257
-2083.553985,2500,1041.026539
-1533.277516,2500,1058.360627
-1576.871295,2500,1075.422293
-1791.052555,2500,1092.388278
-1875.604242,2500,1109.762325
-1329.105888,2500,1127.097477
-1203.840068,2500,1144.478213
-1359.010723,2500,1161.62291
-1736.227739,2500,1178.978484
-1999.316741,2500,1196.144484
-1725.314581,2500,1213.322019
-3233.253026,2500,1230.632142
-1555.889308,2500,1247.779315
-2068.052564,2500,1265.079405
-1186.035598,2500,1282.350178
-1594.908649,2500,1299.428398
-1694.500367,2500,1316.520574
-2195.530598,2500,1333.601062
-1777.703364,2500,1350.765942
-2387.277493,2500,1367.748938
-1960.311325,2500,1385.242393
-2379.627103,2500,1402.475255
-1454.817548,2500,1419.690039
-1694.239602,2500,1436.620053
-1762.56374,2500,1453.827324
-1204.556927,2500,1471.028429
-2547.839276,2500,1488.397753
-1612.461266,2500,1505.525103
-1598.008529,2500,1522.730369
-2504.280998,2500,1540.140222
-1303.199213,2500,1557.40632
-1634.497038,2500,1574.724159
-1662.66416,2500,1592.274945
-1854.082637,2500,1609.781054
-1466.451541,2500,1627.393986
-1882.389228,2500,1644.716559
-1697.523889,2500,1661.951008
-1198.553688,2500,1679.285496
-1551.987468,2500,1696.570456
-1391.636594,2500,1713.668217
-1319.855059,2500,1731.104186
-1593.042634,2500,1748.432785
-1850.654737,2500,1765.598043
-2257.689404,2500,1782.752122
-1537.927004,2500,1799.924783
-2764.581248,2500,1817.242039
-2496.909619,2500,1834.386155
-2507.078587,2500,1851.729196
-1536.148993,2500,1868.798662
-1185.888502,2500,1885.953651
-1878.17368,2500,1903.05787
-2211.181676,2500,1920.12011
-2172.609646,2500,1937.202523
-1285.043438,2500,1954.228544
-1574.446367,2500,1971.1984
-1835.26463,2500,1988.058311
-1434.228277,2500,2005.118891
-1521.697421,2500,2022.047436
