#{"t_start": 1662477361.5422447, "env_id": "zinc-coating-v0"}
r,l,t
-3060.544926,2500,0.587933
-3308.368166,2500,7.253507
-2745.1229,2500,13.896294
-3894.720259,2500,20.428133
-1963.722798,2500,38.524323
-2896.532713,2500,56.558635
-1607.737949,2500,74.652929
-1314.676638,2500,92.819303
-2135.168921,2500,111.140092
-1810.113116,2500,129.183154
-1996.333741,2500,147.186255
-2025.41118,2500,164.975108
-2093.977306,2500,183.01996
-912.451613,2500,200.969378
-2384.305227,2500,219.12082
-2188.528304,2500,237.14934
-1682.983178,2500,255.300627
-1712.026579,2500,273.365887
-2176.248474,2500,291.56912
-2939.602348,2500,310.124304
-3199.49594,2500,328.573512
-1558.942039,2500,347.178378
-1153.650173,2500,365.368159
-2122.439295,2500,383.579057
-1746.54103,2500,401.960398
-1762.761503,2500,420.246017
-2195.178349,2500,438.240582
-2009.86554,2500,456.353968
-1999.228732,2500,474.768145
-2253.643744,2500,492.678422
-2214.788038,2500,510.684616
-2960.445299,2500,528.748116
-2040.509849,2500,547.178616
-1904.968485,2500,565.3987
-1972.758604,2500,583.693233
-1433.523693,2500,601.794901
-1289.989333,2500,619.663911
-1758.487623,2500,637.758178
-1894.893778,2500,656.117494
-1449.259113,2500,674.180137
-1725.980505,2500,692.4641
-1696.775287,2500,710.737247
-1116.822876,2500,728.662139
-1225.799318,2500,746.627018
-1002.170466,2500,764.676091
-1818.426299,2500,782.700509
-2755.103325,2500,800.436682
-2879.758717,2500,818.500026
-2540.137832,2500,836.940016
-1313.420213,2500,855.18699
-1172.962519,2500,873.312946
-513.412432,2500,891.357429
-1697.677049,2500,909.288049
-3336.357206,2500,927.410115
-2371.228359,2500,945.364803
-540.7283,2500,963.433193
-1668.020143,2500,981.436341
-1409.989456,2500,999.454589
-1200.243411,2500,1017.277346
-1816.857123,2500,1035.393261
-741.90562,2500,1053.367998
-2087.632807,2500,1071.474734
-1758.917223,2500,1089.33346
-1350.093567,2500,1107.355023
-1183.808413,2500,1125.536119
-1565.621301,2500,1143.606297
-1428.066161,2500,1161.761768
-3128.2815,2500,1180.250955
-1380.398946,2500,1198.544002
-1798.305327,2500,1216.794204
-1842.428464,2500,1234.789917
-2425.482198,2500,1252.862721
-1301.549526,2500,1271.12476
-1561.891239,2500,1289.146612
-2506.017471,2500,1307.224835
-1038.15416,2500,1325.486817
-2881.192051,2500,1343.523494
-1211.904728,2500,1361.754184
-1177.594995,2500,1379.541903
-1815.521969,2500,1397.51261
-1425.715081,2500,1415.784972
-1158.248695,2500,1434.262244
-1160.888133,2500,1452.556815
-1582.039428,2500,1470.842083
-901.073278,2500,1489.032269
-1106.900223,2500,1507.182102
-890.87807,2500,1524.975898
-745.740659,2500,1543.055059
-742.468624,2500,1561.012419
-1323.08431,2500,1579.250204
-1488.203973,2500,1597.275605
-1064.153563,2500,1615.158226
-1149.780579,2500,1633.240611
-915.757782,2500,1651.17825
-992.113122,2500,1669.380804
-709.998359,2500,1688.081636
-2129.427902,2500,1706.639814
-3845.958765,2500,1725.150461
-1200.876898,2500,1743.392435
-1977.526204,2500,1761.296368
-1312.365375,2500,1779.276742
-1330.755463,2500,1797.022772
-1900.832103,2500,1815.039046
-1669.833112,2500,1833.067694
-1733.829128,2500,1850.953881
-1726.896004,2500,1869.050842
-1637.520504,2500,1886.840551
-1376.278105,2500,1904.687173
-2088.347009,2500,1922.692146
-1763.170824,2500,1940.511062
-1564.619574,2500,1958.328145
-1072.954374,2500,1976.214747
-1298.534958,2500,1994.324034
-776.988784,2500,2012.178042
-2053.078904,2500,2030.272609
-1798.633675,2500,2048.036453
-1098.675714,2500,2066.167857
-1076.702593,2500,2084.090566
-2735.536009,2500,2102.065024
-1391.642212,2500,2120.010478
