#{"t_start": 1662482905.8041222, "env_id": "zinc-coating-v0"}
r,l,t
-2620.069291,2500,0.584185
-3288.751633,2500,7.218492
-2929.746998,2500,13.825052
-2947.927966,2500,20.602645
-2330.730479,2500,31.639475
-2644.671788,2500,42.876858
-1900.651582,2500,53.659525
-2100.05943,2500,64.511086
-2179.298756,2500,75.199098
-1591.419073,2500,86.03477
-1760.379947,2500,96.85181
-1715.396477,2500,107.862175
-2596.228289,2500,118.627689
-1685.253175,2500,129.380173
-1529.524821,2500,140.039652
-2117.961288,2500,150.760005
-2061.595926,2500,161.556731
-3242.365052,2500,172.349431
-1437.122339,2500,182.922021
-2457.986639,2500,193.568803
-3214.402372,2500,204.175903
-1912.142908,2500,214.732772
-1942.451025,2500,225.452159
-1314.140016,2500,236.070223
-1785.523472,2500,246.817929
-1253.938239,2500,257.559379
-1840.177635,2500,268.17513
-2023.036644,2500,279.012929
-1973.585883,2500,289.823942
-1795.213603,2500,300.565777
-3333.202563,2500,311.282899
-1465.935168,2500,321.925963
-1661.441872,2500,332.545895
-1496.995129,2500,343.275939
-1559.705296,2500,353.938357
-2327.269754,2500,364.712243
-1894.799782,2500,375.345985
-2208.284108,2500,386.002067
-1391.623196,2500,396.815042
-1734.703865,2500,407.552461
-2467.135878,2500,418.27705
-1958.84238,2500,428.936444
-2153.700775,2500,439.59541
-2335.787231,2500,450.219925
-1372.299561,2500,460.785466
-1406.698233,2500,471.326113
-1354.365593,2500,481.919352
-1320.236589,2500,492.5395
-1983.711218,2500,503.262823
-1593.416037,2500,513.928458
-1776.623747,2500,524.594764
-3322.882024,2500,535.034397
-1421.348604,2500,545.700878
-2805.853244,2500,556.486443
-1485.940213,2500,567.056768
-1654.789937,2500,577.794242
-1867.151974,2500,588.445619
-1714.121461,2500,599.07312
-3106.956352,2500,609.735071
-1773.160107,2500,620.477167
-1577.967346,2500,631.037681
-1991.27521,2500,641.680985
-2400.176847,2500,652.209533
-1988.5182,2500,662.96775
-3322.729315,2500,673.735454
-1698.732851,2500,684.414449
-2304.135113,2500,695.040471
-2432.288335,2500,705.833344
-2167.813604,2500,716.483259
-2422.340624,2500,727.152483
-2239.976715,2500,737.663101
-1933.636561,2500,748.444029
-2333.943969,2500,759.260824
-2324.580569,2500,770.088077
-2713.557267,2500,780.809581
-1761.680836,2500,791.499871
-2390.790782,2500,802.190179
-1830.580546,2500,812.973352
-2558.806668,2500,823.903418
-2057.547724,2500,834.564833
-2222.907146,2500,845.218946
-2063.836812,2500,855.85271
-1929.262898,2500,866.357508
-2221.042438,2500,877.040273
-2256.62148,2500,887.685498
-2035.100274,2500,898.107654
-1921.896767,2500,908.678154
-1809.364396,2500,919.532649
-1469.539044,2500,930.225556
-1897.411869,2500,940.951704
-1784.902709,2500,951.534831
-2022.931911,2500,962.234707
-2006.179381,2500,972.875163
-1997.663914,2500,983.450342
-2163.605572,2500,994.037174
-1576.858328,2500,1004.546321
-1795.829906,2500,1015.228232
-2114.567475,2500,1025.871277
-1909.627083,2500,1036.744211
-1631.800941,2500,1047.324603
-1871.603775,2500,1058.047954
-2282.540531,2500,1068.615935
-2330.116532,2500,1079.217575
-2303.347284,2500,1089.74943
-2071.650533,2500,1100.404766
-1821.345148,2500,1111.024755
-1834.555997,2500,1121.664393
-3232.863426,2500,1132.23031
-2481.097377,2500,1143.042921
-1731.300565,2500,1153.617538
-2209.571182,2500,1164.251754
-2459.720386,2500,1174.829839
-1992.685425,2500,1185.423328
-1815.194311,2500,1196.156931
-1730.161535,2500,1206.863535
-1907.296462,2500,1217.517318
-2698.602901,2500,1228.190315
-1963.194064,2500,1239.028387
-2525.392152,2500,1249.436589
-2335.866049,2500,1259.865991
