#{"t_start": 1662487472.7919137, "env_id": "zinc-coating-v0"}
r,l,t
-2474.02133,2500,0.613451
-2459.654173,2500,7.563569
-3202.745415,2500,14.410199
-3050.431098,2500,21.281305
-3449.903614,2500,33.027923
-2152.388141,2500,44.666157
-2436.418195,2500,56.614371
-2362.169847,2500,68.217606
-2010.758538,2500,79.86655
-2516.100281,2500,91.490153
-2389.066009,2500,103.113208
-2297.806707,2500,114.618751
-2369.697126,2500,126.202897
-2180.72129,2500,137.905332
-2192.626221,2500,149.338535
-1961.697575,2500,160.841612
-1908.788941,2500,172.310204
-2504.566363,2500,183.644311
-2333.113018,2500,194.957002
-2053.157878,2500,206.405312
-3137.945487,2500,217.85642
-1990.208105,2500,229.220128
-2264.62969,2500,240.483712
-2355.447114,2500,251.82473
-2308.80872,2500,263.452666
-2161.215142,2500,274.977748
-2577.325412,2500,286.421002
-1927.74491,2500,297.859737
-2016.263522,2500,309.281649
-2256.879546,2500,320.59929
-1981.157904,2500,332.017858
-2064.015706,2500,343.369188
-2806.72194,2500,354.747628
-2662.237444,2500,366.130923
-1697.966712,2500,377.466562
-2227.831614,2500,388.785183
-2983.227042,2500,400.188257
-2713.035279,2500,411.50225
-2400.067842,2500,422.813355
-1810.083386,2500,434.256644
-1999.148212,2500,445.525925
-2212.987625,2500,456.897783
-3093.911251,2500,468.267246
-2249.139741,2500,479.695687
-1902.088961,2500,491.15933
-2409.866029,2500,502.507429
-2463.909546,2500,514.003791
-1944.711421,2500,525.354975
-2712.226764,2500,536.807854
-2837.617859,2500,548.230683
-2291.687158,2500,559.662517
-1937.604638,2500,571.171292
-2331.217002,2500,582.615023
-1413.520181,2500,594.106084
-1947.523776,2500,605.649612
-2931.497361,2500,617.042623
-2963.408783,2500,628.549329
-1783.355558,2500,639.887548
-1819.942617,2500,651.322828
-1510.296472,2500,662.723975
-2243.599721,2500,674.112832
-2510.665336,2500,685.443778
-2448.659689,2500,697.053525
-2008.589409,2500,708.462823
-2193.021176,2500,720.186872
-1665.089834,2500,731.727587
-1974.341929,2500,743.315537
-2266.101192,2500,754.787966
-1653.343654,2500,766.295022
-1922.827026,2500,777.810383
-2375.816322,2500,789.155732
-2335.146004,2500,800.513845
-2463.389984,2500,811.923362
-2750.958753,2500,823.232818
-2181.846811,2500,834.629698
-2048.82391,2500,845.947387
-2230.806983,2500,857.408681
-2149.829906,2500,868.813996
-2371.58417,2500,880.265612
-2301.592618,2500,891.611588
-2239.602248,2500,902.944392
-3105.992028,2500,914.447463
-2240.467483,2500,925.743054
-1918.788174,2500,937.17479
-2017.908677,2500,948.635655
-2274.00719,2500,960.059654
-2491.721482,2500,971.480909
-2016.124734,2500,982.947319
-2381.788579,2500,994.38253
-2409.045108,2500,1005.924894
-2269.19289,2500,1017.432574
-2266.217636,2500,1028.867682
-2282.788791,2500,1040.319718
-2843.767819,2500,1051.932129
-1955.373637,2500,1063.346934
-2572.536719,2500,1074.852884
-2163.453282,2500,1086.242983
-2422.774386,2500,1097.514245
-3036.998983,2500,1108.877126
-2509.136217,2500,1120.192581
-1617.603099,2500,1131.713801
-2227.430981,2500,1143.067756
-2265.276506,2500,1154.406151
-1806.18245,2500,1165.744294
-2242.522409,2500,1177.06295
-1998.639489,2500,1188.485277
-2289.466298,2500,1199.927286
-2910.53699,2500,1211.222892
-2076.915382,2500,1222.671344
-2165.274245,2500,1234.385056
-3514.489351,2500,1245.737327
-1875.006406,2500,1257.211356
-2638.052567,2500,1268.623974
-1658.311948,2500,1280.039366
-2845.267416,2500,1291.516946
-1999.284457,2500,1303.098267
-1952.573253,2500,1314.621335
-3521.903729,2500,1326.122694
-1706.318636,2500,1337.619875
-2124.0449,2500,1349.046777
