#{"t_start": 1662479490.676957, "env_id": "zinc-coating-v0"}
r,l,t
-3106.776805,2500,0.57926
-2588.434957,2500,7.164165
-3571.167911,2500,13.812617
-3300.214842,2500,20.402463
-2974.784498,2500,31.344627
-2845.901079,2500,42.156988
-1981.273714,2500,53.176143
-1637.576847,2500,64.006388
-2454.379331,2500,74.844233
-2343.349098,2500,85.779979
-1758.296265,2500,96.724266
-1708.124898,2500,107.537815
-1984.306564,2500,118.486245
-1733.991975,2500,129.298445
-1749.00106,2500,140.174286
-1483.458901,2500,151.289037
-1847.516103,2500,162.243182
-1798.851401,2500,173.035428
-2031.025422,2500,183.907084
-1362.09995,2500,194.59611
-1953.088744,2500,205.272335
-2915.032839,2500,216.222665
-1698.847601,2500,226.991766
-2359.227563,2500,237.612762
-934.138957,2500,248.43064
-3159.009973,2500,259.290115
-1949.643434,2500,270.078572
-2000.629509,2500,280.663573
-1819.381322,2500,291.415321
-1800.050169,2500,302.221886
-1538.23187,2500,313.238028
-1839.462438,2500,324.039649
-1818.830425,2500,335.068801
-1757.867911,2500,345.940077
-1775.258839,2500,356.6364
-1893.016224,2500,367.36708
-3211.504108,2500,378.280844
-1809.33232,2500,389.038803
-2164.903221,2500,399.924272
-2291.725943,2500,410.819067
-1704.990747,2500,421.712508
-1894.569767,2500,432.416578
-1513.043594,2500,443.204747
-1735.257225,2500,454.144462
-1342.382859,2500,464.962997
-2117.039617,2500,475.750175
-2121.031992,2500,486.438149
-1633.918057,2500,497.257619
-2431.933328,2500,508.121123
-1260.638177,2500,519.076309
-1781.878145,2500,530.058403
-1491.702753,2500,540.983729
-1550.492865,2500,551.947199
-1746.209214,2500,562.760933
-2418.608797,2500,573.647174
-1393.988846,2500,584.560553
-1747.132777,2500,595.38245
-1881.893746,2500,606.053286
-2264.532451,2500,616.665916
-1908.109615,2500,627.249281
-1408.369345,2500,637.826876
-1716.697194,2500,648.291207
-1244.134601,2500,658.877416
-1949.032968,2500,669.337007
-2576.719412,2500,679.92973
-2235.843865,2500,690.354776
-2150.507423,2500,700.865013
-1842.905349,2500,711.208886
-1007.002022,2500,721.717708
-1488.218703,2500,732.17352
-1898.926235,2500,742.73283
-1759.284293,2500,753.669538
-1981.551387,2500,764.473119
-1827.887058,2500,774.88669
-1525.397927,2500,785.405578
-2216.548563,2500,795.813751
-2699.637874,2500,806.418219
-2098.221508,2500,817.169983
-1958.512921,2500,827.879819
-1774.577265,2500,838.437248
-1987.759482,2500,848.871483
-2314.697542,2500,859.167257
-2432.794042,2500,869.66905
-2992.059009,2500,880.395158
-2029.936507,2500,891.019438
-1818.472656,2500,901.837673
-1739.476213,2500,912.381436
-1473.883134,2500,922.756965
-1866.709573,2500,933.266037
-1804.03013,2500,943.713057
-2445.038764,2500,954.03989
-1954.452695,2500,964.414821
-2024.020661,2500,974.801191
-2390.870003,2500,985.386284
-1792.89871,2500,995.895302
-1529.350522,2500,1006.402887
-1898.639996,2500,1016.680754
-1615.338768,2500,1027.081352
-1667.147732,2500,1037.44095
-1729.086736,2500,1047.864835
-1949.955441,2500,1058.483361
-1468.288937,2500,1068.826145
-1464.211477,2500,1079.226819
-2243.044388,2500,1089.765822
-2425.105584,2500,1100.294708
-1866.023131,2500,1110.866287
-2167.471171,2500,1121.269324
-1734.51429,2500,1131.465097
-1650.602565,2500,1141.970026
-1856.283758,2500,1152.472802
-1729.71443,2500,1162.748881
-1587.837135,2500,1173.231825
-1665.726545,2500,1183.765255
-2236.28484,2500,1194.225572
-2293.074559,2500,1204.650555
-1945.600916,2500,1215.050563
-1891.172255,2500,1225.491293
-2196.126384,2500,1236.053182
-2192.618393,2500,1246.411367
-3521.118237,2500,1256.922271
