#{"t_start": 1662505326.148084, "env_id": "zinc-coating-v0"}
r,l,t
-2869.046611,2500,0.606685
-2294.633003,2500,7.116378
-3773.747339,2500,13.595113
-2223.373044,2500,20.216058
-1932.771176,2500,30.964533
-3523.566188,2500,41.67308
-1833.949041,2500,52.452025
-3873.405222,2500,63.026176
-1985.359484,2500,73.556481
-1840.80152,2500,84.448346
-1891.211586,2500,95.054585
-1680.618922,2500,105.635139
-3101.288606,2500,116.187176
-1551.684795,2500,126.70247
-1968.201053,2500,137.256419
-2132.293165,2500,147.775197
-2236.77133,2500,158.270688
-3168.397404,2500,168.866519
-1385.095859,2500,179.578186
-2576.776295,2500,190.080153
-1857.450448,2500,200.597966
-1562.319217,2500,211.156105
-1731.979834,2500,221.60861
-2098.306677,2500,232.108871
-1369.291774,2500,242.651401
-2662.306134,2500,253.104783
-1329.569816,2500,263.737345
-1092.072319,2500,274.385241
-2069.973484,2500,284.974342
-2565.468981,2500,295.598811
-2384.154626,2500,306.19474
-2356.760927,2500,316.772459
-2794.797919,2500,327.381644
-956.666054,2500,338.0463
-2330.157583,2500,348.434725
-1645.372779,2500,358.971756
-2441.310616,2500,369.551793
-2704.534594,2500,380.014713
-2518.541549,2500,390.520463
-1748.662367,2500,401.057426
-1551.013482,2500,411.633101
-2697.221831,2500,422.161348
-1437.548459,2500,432.570833
-4340.878364,2500,443.068913
-1148.612911,2500,453.609282
-3375.335464,2500,464.101373
-2184.544219,2500,474.660309
-1479.657606,2500,485.29241
-2142.237229,2500,495.921806
-1540.209727,2500,506.35867
-2351.575335,2500,516.763876
-2410.73732,2500,527.260048
-2072.765573,2500,538.02071
-3017.806581,2500,548.620115
-2154.84676,2500,559.213912
-2823.715777,2500,569.826709
-3055.326217,2500,580.434093
-1555.117412,2500,590.989753
-3641.245672,2500,601.549969
-2188.67293,2500,612.219122
-3080.420273,2500,622.748522
-1727.607772,2500,633.281031
-1522.641082,2500,643.887399
-2738.841315,2500,654.397187
-1486.637251,2500,664.975516
-2059.015856,2500,675.347677
-1812.004608,2500,685.781522
-1318.919458,2500,696.196073
-2442.450846,2500,706.788318
-3100.061345,2500,717.471292
-1542.347496,2500,728.026467
-1930.436342,2500,738.644989
-2116.643224,2500,749.170805
-1616.950656,2500,759.693869
-1816.069019,2500,770.254529
-2972.073616,2500,780.953111
-3047.507927,2500,791.39376
-3499.619725,2500,801.937959
-3667.602724,2500,812.456885
-2654.667169,2500,822.962035
-2702.253444,2500,833.456211
-2393.149783,2500,844.18727
-1529.143804,2500,854.756147
-1716.147276,2500,865.305472
-1834.671911,2500,875.93456
-3006.0078,2500,886.562926
-2741.592764,2500,897.049235
-1551.07035,2500,907.677864
-1917.338925,2500,918.306264
-2876.801622,2500,928.708796
-2432.108968,2500,939.034441
-1368.317881,2500,949.559757
-1490.800403,2500,960.243457
-1292.096364,2500,970.688996
-1457.0465,2500,981.201172
-3217.984556,2500,991.728352
-2227.724473,2500,1002.302153
-1678.934193,2500,1012.798635
-2368.171488,2500,1023.238075
-2227.648501,2500,1033.64195
-1493.731701,2500,1044.243684
-2293.333667,2500,1054.720215
-1853.711367,2500,1065.153009
-1654.657758,2500,1075.665434
-1693.144979,2500,1086.243172
-2787.12126,2500,1096.742256
-1820.999641,2500,1107.30332
-1925.442687,2500,1117.613452
-975.02949,2500,1128.135842
-1595.556876,2500,1138.783914
-1330.332236,2500,1149.272192
-1936.352277,2500,1159.792446
-1512.725402,2500,1170.178505
-2544.667156,2500,1180.643719
-3062.918856,2500,1191.039538
-2786.072072,2500,1201.456666
-2176.266735,2500,1211.829227
-2329.957577,2500,1222.360882
-1305.342147,2500,1232.753859
-2680.568796,2500,1243.232471
