#{"t_start": 1662528999.726202, "env_id": "zinc-coating-v0"}
r,l,t
-3481.461832,2500,0.588485
-3145.77185,2500,7.191247
-3043.485886,2500,13.765562
-2549.698485,2500,20.323817
-2695.423579,2500,31.250693
-2595.339495,2500,42.22863
-2227.021071,2500,53.15015
-1928.751083,2500,64.210535
-1764.399394,2500,75.192731
-2254.831535,2500,86.239943
-1731.303247,2500,97.22918
-2703.22241,2500,108.224523
-1495.204763,2500,119.11399
-2039.647213,2500,129.852732
-1771.691333,2500,140.465411
-1713.958247,2500,151.125657
-1663.369426,2500,161.74635
-2167.429876,2500,172.479206
-1847.844621,2500,183.011006
-1684.074773,2500,193.629377
-1773.568204,2500,204.350223
-1914.495912,2500,214.894835
-1912.290444,2500,225.554632
-2043.214722,2500,236.048484
-2025.75408,2500,246.586679
-2615.014026,2500,257.052997
-1913.815861,2500,267.789919
-2533.507247,2500,278.359015
-2157.42128,2500,288.981381
-1806.759845,2500,299.645967
-1896.0318,2500,310.25158
-2489.145654,2500,320.708519
-1865.783103,2500,331.432435
-1880.794947,2500,342.057837
-2658.86536,2500,352.595796
-1908.431565,2500,363.227197
-2637.342418,2500,373.881523
-2195.581206,2500,384.598771
-2750.319788,2500,395.053346
-1968.028324,2500,405.490792
-1864.360832,2500,416.184515
-1872.827632,2500,426.756087
-2106.215019,2500,437.137643
-2143.143837,2500,447.720359
-1753.163527,2500,458.11077
-1908.582941,2500,468.635347
-1910.248,2500,479.159777
-2344.424425,2500,489.666147
-1850.092685,2500,500.406783
-1598.520325,2500,510.958808
-1782.787321,2500,521.385267
-2614.304245,2500,532.10617
-2701.996573,2500,542.687092
-2162.022935,2500,553.263703
-2412.156758,2500,563.998285
-2483.008323,2500,574.681221
-2125.901921,2500,585.374461
-2005.846118,2500,595.9858
-2493.606468,2500,606.742134
-2019.214326,2500,617.410853
-1946.382932,2500,628.176468
-1610.074013,2500,638.768178
-2533.667276,2500,649.405266
-2217.052172,2500,660.025439
-1681.731518,2500,670.708108
-2648.195795,2500,681.302111
-2623.638101,2500,691.980509
-2033.506655,2500,702.43314
-2415.852949,2500,713.032302
-1804.468093,2500,723.430984
-1519.828965,2500,733.883453
-1418.331499,2500,744.505193
-2066.307861,2500,755.162247
-2308.798419,2500,765.586722
-1661.132844,2500,776.054323
-2204.758033,2500,786.607349
-1591.819727,2500,797.11432
-1726.65843,2500,807.74794
-2085.26552,2500,818.189439
-1414.88259,2500,828.776992
-1930.519632,2500,839.372157
-1976.270838,2500,849.896674
-2317.306841,2500,860.44535
-1959.044974,2500,871.071235
-2088.792508,2500,881.595785
-1928.477764,2500,892.140669
-1302.445528,2500,902.681629
-2243.840844,2500,913.226032
-1724.461964,2500,923.983915
-1228.277348,2500,934.561455
-2073.874279,2500,945.20903
-1828.081235,2500,955.818019
-1562.755255,2500,966.382869
-2238.896653,2500,976.893787
-1929.958762,2500,987.47493
-1606.664099,2500,998.185294
-1552.927732,2500,1009.052195
-1755.907403,2500,1019.786917
-988.548818,2500,1030.435753
-1624.832728,2500,1041.036509
-1804.095478,2500,1051.568986
-1561.595373,2500,1062.066146
-1433.028418,2500,1072.567608
-2272.180195,2500,1083.136853
-1945.481498,2500,1093.707715
-3473.447335,2500,1104.241083
-1481.442591,2500,1114.750135
-1519.148081,2500,1125.140408
-1793.082888,2500,1135.697063
-1419.353523,2500,1146.279372
-1776.963865,2500,1156.816208
-1870.075148,2500,1167.47596
-1977.609932,2500,1178.07601
-1765.526295,2500,1188.587378
-1418.425508,2500,1199.155315
-1179.783429,2500,1209.681479
-2025.679231,2500,1220.128132
-1811.283501,2500,1230.710958
-1438.74444,2500,1241.347346
-1889.692977,2500,1251.943224
