#{"t_start": 1662535709.1502779, "env_id": "zinc-coating-v0"}
r,l,t
-2614.985623,2500,0.585207
-2392.661092,2500,7.121945
-2523.307068,2500,13.598953
-2948.176653,2500,20.000073
-3061.099162,2500,30.575346
-3294.042681,2500,41.31496
-2012.600407,2500,52.027066
-2172.544765,2500,62.87847
-2166.521608,2500,73.729551
-1953.797789,2500,84.448673
-1740.244702,2500,95.264283
-1921.546365,2500,106.227671
-1856.790059,2500,117.006388
-2313.887626,2500,127.975343
-2302.317962,2500,138.865322
-2510.273682,2500,149.675484
-1680.234854,2500,160.644291
-1877.963465,2500,171.670955
-1987.692884,2500,182.972848
-2097.308714,2500,193.961726
-2044.435125,2500,204.850538
-1204.595843,2500,215.7428
-1992.374366,2500,226.589329
-2081.500276,2500,237.402834
-1940.474878,2500,248.022228
-2121.821216,2500,258.706746
-2307.887384,2500,269.419554
-1950.197033,2500,280.093755
-2286.779829,2500,290.867672
-1830.232687,2500,301.716505
-2168.552614,2500,312.536499
-1950.955893,2500,323.17846
-1875.39408,2500,334.17215
-1905.048142,2500,344.905139
-1796.983915,2500,355.416738
-2620.353041,2500,365.990264
-2284.481366,2500,376.853578
-1718.128765,2500,387.417202
-1838.91827,2500,398.123499
-2089.443092,2500,408.557988
-1713.715042,2500,418.972456
-3625.686,2500,429.55972
-2231.194564,2500,440.145127
-1975.029796,2500,450.66643
-2247.636384,2500,461.077902
-2032.578159,2500,471.674845
-2318.503135,2500,482.180691
-2215.384858,2500,492.685241
-1950.758441,2500,503.262184
-2076.920682,2500,513.88275
-2351.953747,2500,524.339223
-2046.707472,2500,534.970084
-2324.353366,2500,545.62768
-1493.878183,2500,556.019448
-2287.648963,2500,566.596642
-1669.963379,2500,577.081299
-1758.52214,2500,587.59885
-2007.29739,2500,598.04966
-1784.978845,2500,608.603469
-2237.330339,2500,619.008455
-1778.999573,2500,629.377184
-1642.447695,2500,639.971615
-1820.450206,2500,650.496639
-2076.711104,2500,661.044017
-1901.185694,2500,671.532199
-2549.759368,2500,681.942461
-2122.434571,2500,692.376523
-2116.883194,2500,702.957834
-2497.643283,2500,713.637322
-1978.703434,2500,724.124766
-1971.207722,2500,734.653419
-2755.916933,2500,745.063399
-2111.383634,2500,755.650155
-2351.152531,2500,766.026632
-2570.598184,2500,776.513394
-2660.460964,2500,786.853644
-2800.569753,2500,797.313241
-2209.606854,2500,807.688276
-1693.5017,2500,818.155062
-2368.951641,2500,828.573534
-2720.048704,2500,839.077735
-2543.920881,2500,849.63819
-2008.649393,2500,860.169073
-1922.146077,2500,870.619409
-2548.836173,2500,881.292641
-2429.277112,2500,891.703877
-2348.687149,2500,902.09585
-3076.654584,2500,912.602984
-2636.891539,2500,923.052818
-2491.694446,2500,933.631124
-2710.609758,2500,944.073106
-2752.94726,2500,954.59931
-2792.797512,2500,965.338261
-2223.499617,2500,975.967925
-2865.278857,2500,986.468352
-2339.913833,2500,997.305485
-2238.329198,2500,1007.762493
-2523.567581,2500,1018.28899
-2097.078039,2500,1028.850201
-2114.067578,2500,1039.244193
-2355.514039,2500,1049.640563
-2670.460375,2500,1060.253636
-2272.203839,2500,1070.714486
-3041.679265,2500,1081.279362
-2076.361712,2500,1091.828603
-2287.340726,2500,1102.306136
-1721.725219,2500,1112.913987
-2163.687499,2500,1123.306245
-2484.838993,2500,1133.615729
-2102.274166,2500,1144.161834
-2314.22117,2500,1154.578385
-2147.626924,2500,1164.993046
-2343.130121,2500,1175.802664
-2548.378577,2500,1186.191681
-3345.190251,2500,1196.760367
-2604.50758,2500,1207.325837
-1793.739249,2500,1217.818397
-2487.729166,2500,1228.310361
-2079.20194,2500,1238.799955
-2204.512979,2500,1249.30441
