#{"t_start": 1662502728.058485, "env_id": "zinc-coating-v0"}
r,l,t
-3208.931804,2500,0.599177
-2441.809953,2500,7.184149
-2991.493848,2500,13.910475
-2914.515874,2500,20.631906
-3302.968258,2500,31.524302
-3274.592553,2500,42.382758
-2141.529176,2500,53.375802
-2149.731953,2500,64.215043
-2680.357105,2500,75.249039
-1949.37593,2500,86.178304
-2630.637244,2500,97.050126
-1971.660332,2500,107.809675
-2375.310046,2500,118.858652
-2286.913622,2500,129.800781
-2172.491231,2500,140.706879
-1981.19957,2500,151.674401
-1779.045598,2500,162.66215
-1974.341458,2500,173.542751
-1918.239953,2500,184.464569
-1992.025626,2500,195.616343
-2613.596226,2500,206.474925
-1973.162775,2500,217.303987
-1963.353865,2500,228.184184
-2672.091557,2500,239.118881
-2065.139402,2500,250.044867
-1909.92172,2500,260.898181
-2806.742481,2500,271.672624
-2477.13768,2500,282.342945
-2234.057013,2500,293.077375
-2532.548356,2500,303.697993
-2160.072216,2500,314.402344
-2376.565339,2500,325.081139
-2420.979384,2500,335.639116
-2008.035873,2500,346.130665
-2230.246638,2500,356.73107
-1935.06254,2500,367.270407
-2038.179709,2500,377.911591
-2163.404872,2500,388.396355
-2258.12149,2500,398.85727
-1823.708877,2500,409.481063
-2162.524451,2500,420.175606
-2554.277247,2500,430.714756
-2365.412804,2500,441.380607
-1905.569184,2500,451.746456
-2403.957485,2500,462.215732
-1811.103215,2500,472.666402
-2105.586629,2500,483.168359
-2006.173563,2500,493.782059
-2256.030366,2500,504.250925
-1865.930325,2500,514.795259
-2022.115071,2500,525.429259
-2301.940914,2500,536.04728
-2233.851552,2500,546.493013
-2134.258606,2500,557.0811
-1843.301571,2500,567.651363
-2326.901243,2500,578.228051
-1951.39398,2500,588.680584
-2640.476218,2500,599.160199
-1785.329505,2500,609.633299
-2030.575498,2500,620.139182
-2339.765704,2500,630.8072
-2019.74964,2500,641.309108
-1977.207371,2500,651.770736
-2012.106575,2500,662.187236
-2302.553234,2500,672.650423
-2361.629721,2500,683.1837
-2066.488114,2500,693.767027
-2059.381845,2500,704.291466
-2080.871202,2500,714.743068
-3162.451967,2500,725.358185
-1867.794729,2500,736.090127
-2559.328851,2500,746.623371
-1811.479292,2500,757.258528
-2380.086467,2500,767.822344
-2581.163303,2500,778.377023
-2280.844935,2500,789.041887
-2263.065506,2500,799.754468
-1854.834784,2500,810.243244
-1835.772817,2500,820.727914
-1950.54625,2500,831.185841
-1788.665101,2500,841.868232
-2067.367902,2500,852.475252
-2145.541398,2500,863.009814
-2070.407829,2500,873.491817
-2138.134028,2500,883.966251
-2672.97471,2500,894.49612
-2175.355128,2500,905.001985
-1788.586179,2500,915.630131
-1762.249207,2500,926.252308
-1733.351626,2500,936.878955
-2270.475511,2500,947.428596
-2819.759479,2500,958.06743
-3013.613491,2500,968.615065
-2869.597235,2500,979.149297
-3154.762325,2500,989.604365
-2704.355406,2500,1000.364001
-1900.259226,2500,1010.913291
-1860.618886,2500,1021.365357
-1698.759598,2500,1031.893684
-1811.313694,2500,1042.458349
-2726.556158,2500,1053.080153
-2214.985753,2500,1063.712298
-2204.670135,2500,1074.181127
-1936.205835,2500,1084.759121
-2145.789904,2500,1095.360879
-2714.840042,2500,1105.954706
-2586.519585,2500,1116.411989
-1965.323488,2500,1126.999403
-1509.488061,2500,1137.482069
-2387.307755,2500,1147.937574
-2198.801975,2500,1158.572668
-1952.528825,2500,1169.022596
-1692.103593,2500,1179.511919
-2316.280289,2500,1189.998702
-1585.0191,2500,1200.546219
-2738.637057,2500,1211.092035
-2026.559703,2500,1221.623645
-2493.271824,2500,1232.267851
-1864.90881,2500,1242.780676
-2572.647327,2500,1253.34411
