#{"t_start": 1662515893.4846315, "env_id": "zinc-coating-v0"}
r,l,t
-2704.839959,2500,0.588776
-3413.011085,2500,7.128139
-2797.435541,2500,13.678757
-2741.001781,2500,20.19735
-2830.124715,2500,31.061615
-1940.116319,2500,41.868659
-1941.264243,2500,52.90647
-1916.970226,2500,63.823539
-1724.568487,2500,74.707792
-1658.44598,2500,85.403225
-2110.650437,2500,96.208361
-2068.845187,2500,107.026731
-2895.809929,2500,118.12321
-2429.036468,2500,129.004434
-2039.955584,2500,139.923403
-3258.860397,2500,150.759201
-1779.748573,2500,161.658323
-1509.084584,2500,172.449232
-2104.791566,2500,183.321243
-1866.739202,2500,194.090098
-2182.664482,2500,204.962941
-1742.026018,2500,215.95735
-2563.493093,2500,226.88991
-2163.603139,2500,237.712247
-999.786916,2500,248.661611
-2608.934924,2500,259.775167
-1928.706107,2500,270.628665
-1527.651893,2500,281.553807
-1504.079797,2500,292.472686
-2626.449263,2500,303.352607
-1604.361091,2500,314.25727
-1631.97722,2500,325.221736
-1115.429225,2500,336.050165
-1716.655135,2500,346.981636
-2891.522746,2500,357.971935
-1617.623784,2500,368.907851
-1865.017425,2500,379.745701
-1247.218253,2500,390.56211
-2319.923532,2500,401.327753
-1612.918765,2500,412.25402
-1090.935011,2500,423.043806
-2839.132584,2500,433.634181
-1480.104648,2500,444.40829
-1845.517407,2500,454.969817
-2011.961728,2500,465.580798
-1586.207039,2500,476.196268
-1260.054723,2500,486.840908
-1424.419912,2500,497.626223
-2473.327439,2500,508.159635
-2102.468096,2500,518.843109
-2044.189158,2500,529.488694
-2002.409579,2500,540.118116
-1359.559886,2500,550.691252
-2588.68563,2500,561.371976
-1735.163233,2500,571.960369
-1546.585152,2500,582.547947
-1946.624005,2500,593.243812
-1617.528764,2500,603.907606
-2122.260515,2500,614.583747
-2134.364428,2500,625.103524
-1478.218094,2500,635.718128
-2873.764865,2500,646.359644
-1749.804041,2500,657.022536
-2362.428212,2500,667.540516
-1885.15132,2500,678.094836
-1891.82502,2500,688.466117
-1812.962604,2500,699.023821
-2260.946483,2500,709.842917
-1959.326069,2500,720.433719
-2225.109774,2500,730.962664
-2545.341173,2500,741.632139
-2788.277612,2500,752.321033
-2545.46097,2500,763.243237
-2423.134129,2500,774.086881
-1788.603816,2500,784.825439
-1600.789864,2500,795.611695
-2416.371784,2500,806.42063
-2590.222897,2500,817.474219
-1887.75142,2500,828.244034
-3068.328022,2500,839.246766
-2281.655932,2500,849.986007
-2470.382604,2500,860.6232
-2116.497276,2500,871.124741
-2208.421397,2500,881.668123
-3214.699943,2500,892.383378
-2679.039757,2500,902.842405
-1933.519395,2500,913.293948
-2413.18292,2500,923.813799
-2141.555297,2500,934.392455
-2325.22736,2500,945.055608
-1778.191538,2500,955.657082
-2072.278801,2500,966.14019
-1891.697359,2500,976.655889
-1699.480695,2500,987.094122
-1981.973047,2500,997.722178
-2038.684938,2500,1008.328396
-1872.101709,2500,1018.971891
-2081.113592,2500,1029.911403
-1849.181794,2500,1040.654949
-2620.271246,2500,1051.35066
-2687.619472,2500,1061.926308
-2046.559153,2500,1072.589145
-2238.320074,2500,1083.303304
-1927.696512,2500,1094.082317
-2107.975678,2500,1104.723036
-2290.077913,2500,1115.334224
-1974.693852,2500,1125.839272
-1657.465988,2500,1136.526804
-2406.225189,2500,1147.003261
-2345.401127,2500,1157.47913
-2529.975356,2500,1168.008206
-1915.690773,2500,1178.523682
-2227.49891,2500,1189.158058
-2316.852035,2500,1199.726118
-2087.593275,2500,1210.21657
-1679.837239,2500,1220.824861
-2577.361106,2500,1231.626282
-1948.933802,2500,1242.195693
-2529.781605,2500,1252.825504
-2212.145544,2500,1263.678745
