#{"t_start": 1662542150.8841236, "env_id": "zinc-coating-v0"}
r,l,t
-3334.383325,2500,0.584788
-2535.522295,2500,7.257335
-3558.088669,2500,13.942779
-2766.141169,2500,20.522916
-3618.0523,2500,31.477846
-2250.147314,2500,42.380693
-2293.958871,2500,53.26238
-2156.353291,2500,64.208153
-1842.049996,2500,75.203326
-2247.250596,2500,86.045777
-1681.083154,2500,96.973529
-1906.075288,2500,107.872888
-2221.196111,2500,119.231047
-2353.335807,2500,130.155222
-1584.373024,2500,141.037992
-1926.698893,2500,151.914902
-1850.563333,2500,162.868531
-2341.680085,2500,173.684737
-1487.977581,2500,184.611019
-2224.513098,2500,195.612465
-3918.328251,2500,206.46305
-1551.632868,2500,217.225209
-1370.017502,2500,228.19978
-1473.529402,2500,239.029765
-3179.020622,2500,249.972979
-1865.667357,2500,261.074861
-1583.54389,2500,271.990177
-1900.56149,2500,283.071615
-2821.250381,2500,294.25008
-1982.391482,2500,305.111431
-1519.479377,2500,315.974881
-891.858727,2500,326.750419
-1232.085358,2500,337.441532
-3050.462044,2500,348.060593
-2641.869613,2500,358.822858
-1955.344877,2500,369.434604
-1368.995546,2500,380.096657
-2416.808698,2500,390.645656
-1734.686919,2500,401.205732
-1581.86679,2500,411.813015
-891.335171,2500,422.429607
-2402.272861,2500,433.026783
-1830.835534,2500,443.629869
-1762.81261,2500,454.132739
-1445.482079,2500,464.849615
-1014.781745,2500,475.293094
-2553.731084,2500,486.029415
-1243.373059,2500,496.757914
-2721.637752,2500,507.474013
-1219.811048,2500,517.9862
-1776.438611,2500,528.598737
-2461.662438,2500,539.359497
-1530.036956,2500,550.191428
-2413.593488,2500,560.85654
-1741.160093,2500,571.453777
-1319.998134,2500,581.965555
-1510.540425,2500,592.494058
-1827.591086,2500,603.074279
-2231.996894,2500,613.774211
-1804.661271,2500,624.411747
-1735.062978,2500,635.055315
-1376.794981,2500,645.727258
-1394.948871,2500,656.22237
-1938.684712,2500,666.855054
-1520.819576,2500,677.468703
-1620.001599,2500,687.9965
-1623.213194,2500,698.582827
-1500.964181,2500,709.149313
-2713.255014,2500,719.745473
-1425.830561,2500,730.364095
-3199.949366,2500,740.963765
-1802.310899,2500,751.575692
-1750.160165,2500,762.27562
-2268.621399,2500,773.011616
-2259.40186,2500,783.444119
-1851.941125,2500,794.175256
-1458.946277,2500,804.750931
-1231.282351,2500,815.259744
-2429.768624,2500,825.925827
-1699.771415,2500,836.607855
-2516.165161,2500,847.221963
-1263.459952,2500,858.105216
-3068.861816,2500,868.5776
-1441.237717,2500,879.190449
-1845.228683,2500,889.862313
-1672.613458,2500,900.666059
-1570.232254,2500,911.378867
-2383.415947,2500,922.00616
-2434.944244,2500,932.668103
-1726.127163,2500,943.418154
-1821.584189,2500,954.049687
-1816.427382,2500,964.69251
-1798.370133,2500,975.223026
-1722.976544,2500,985.957413
-1548.927425,2500,996.531008
-2317.601664,2500,1007.08784
-1816.207022,2500,1017.762156
-1963.236413,2500,1028.325135
-1931.727307,2500,1038.976355
-1917.389157,2500,1049.542976
-1854.773834,2500,1060.074495
-1763.808799,2500,1070.689803
-2802.948245,2500,1081.431242
-2970.69032,2500,1092.173248
-1933.941659,2500,1102.923954
-1689.646301,2500,1113.471735
-1345.835593,2500,1124.021054
-1462.180642,2500,1134.52168
-1828.089627,2500,1145.108871
-1750.495845,2500,1155.821771
-2520.187424,2500,1166.401993
-1670.095236,2500,1176.732645
-1873.239487,2500,1187.285002
-1499.787637,2500,1197.787893
-1898.03887,2500,1208.521211
-1593.786388,2500,1219.10157
-1484.437171,2500,1229.82084
-1565.828557,2500,1240.530309
-1941.149856,2500,1251.11452
-1688.690153,2500,1261.692724
