#{"t_start": 1662545557.401745, "env_id": "zinc-coating-v0"}
r,l,t
-3469.866388,2500,0.579677
-2968.964256,2500,7.223287
-3249.817051,2500,13.859369
-2650.604553,2500,20.415333
-2988.38342,2500,31.338709
-2263.301163,2500,42.162514
-2765.582668,2500,52.877209
-2062.561501,2500,63.814645
-1983.107068,2500,74.777547
-1608.952632,2500,85.656447
-1734.236741,2500,96.571162
-2667.138964,2500,107.361941
-1685.783603,2500,118.173707
-2549.927871,2500,128.859806
-1926.783352,2500,139.555192
-1429.650343,2500,150.351835
-1650.645985,2500,161.029767
-1815.68206,2500,171.815597
-1477.205021,2500,182.513749
-1710.524761,2500,193.189622
-2295.012734,2500,203.923228
-1271.030835,2500,214.519457
-1342.422794,2500,225.124493
-1626.816103,2500,235.788176
-2238.941217,2500,246.412574
-2056.285297,2500,256.969506
-2038.997598,2500,267.739394
-1945.194963,2500,278.221901
-2068.628713,2500,288.678666
-2429.791765,2500,299.356908
-1438.542682,2500,310.138802
-1386.541234,2500,320.704454
-2359.375122,2500,331.281079
-1802.492161,2500,341.821958
-1730.360654,2500,352.577723
-1511.26688,2500,363.110899
-1962.567732,2500,373.631044
-1712.129533,2500,384.183286
-2418.308813,2500,394.811632
-2122.188399,2500,405.374574
-1524.814819,2500,415.985598
-2963.208334,2500,426.452054
-1659.053079,2500,437.048819
-1523.412781,2500,447.714167
-1891.313561,2500,458.386295
-1592.969043,2500,468.95202
-2038.737649,2500,479.648599
-1628.425113,2500,490.455285
-1458.893251,2500,501.15363
-1577.576269,2500,511.666345
-1802.304235,2500,522.347504
-1518.716601,2500,532.970934
-3098.656358,2500,543.709055
-1579.937195,2500,554.178034
-1693.411675,2500,564.829746
-1215.760594,2500,575.585517
-759.027995,2500,586.182008
-2525.603396,2500,596.715191
-1680.810964,2500,607.249867
-1760.278531,2500,617.851986
-1515.38383,2500,628.59658
-1922.885322,2500,639.294997
-2307.140318,2500,649.747566
-2364.790489,2500,660.577452
-2027.210502,2500,671.289351
-1860.987372,2500,681.851763
-2346.130221,2500,692.475503
-2063.961333,2500,703.074511
-1825.146392,2500,713.708836
-2479.079335,2500,724.063799
-2039.816988,2500,734.576851
-2152.265863,2500,745.211623
-2178.803822,2500,755.719807
-2098.551252,2500,766.142818
-2375.904398,2500,776.664872
-1323.674229,2500,787.306376
-3038.537861,2500,798.065527
-2037.467884,2500,808.854361
-2091.583929,2500,819.605663
-1616.134569,2500,830.233203
-1508.653096,2500,840.893125
-2269.445116,2500,851.604577
-1698.80322,2500,862.237389
-1843.665117,2500,872.826617
-1784.830462,2500,883.565824
-2449.926536,2500,894.381251
-2944.76635,2500,905.165915
-1646.489376,2500,915.890796
-1525.809839,2500,926.669626
-2531.596733,2500,937.313143
-2203.637282,2500,947.903739
-1958.832552,2500,958.468799
-1600.586966,2500,969.142742
-2344.485812,2500,979.877096
-1867.985652,2500,990.620063
-1949.139033,2500,1001.238195
-1772.509313,2500,1011.794842
-2237.354975,2500,1022.228429
-1867.396194,2500,1032.958228
-1823.797696,2500,1043.668654
-2741.449286,2500,1054.461448
-1778.277122,2500,1065.045128
-1894.819072,2500,1075.744981
-1564.274557,2500,1086.463481
-1545.356737,2500,1097.067416
-1802.791101,2500,1107.972066
-2056.621907,2500,1118.441933
-1799.834976,2500,1129.081929
-2256.330639,2500,1139.699462
-2806.215656,2500,1150.213001
-1790.993645,2500,1160.726719
-1774.337538,2500,1171.521783
-1554.488266,2500,1182.059296
-2445.518426,2500,1192.829577
-1876.760411,2500,1203.356217
-2814.434537,2500,1214.010639
-1670.565532,2500,1224.790831
-1940.766343,2500,1235.379359
-1901.443353,2500,1246.097854
-1722.044981,2500,1256.68731
