#{"t_start": 1662490081.15878, "env_id": "zinc-coating-v0"}
r,l,t
-3202.159037,2500,0.604973
-3017.88872,2500,7.314143
-2850.315828,2500,13.926539
-3462.208761,2500,20.60024
-2559.596549,2500,31.448434
-1786.853844,2500,42.294603
-1805.66421,2500,53.227336
-1987.784179,2500,64.420128
-3171.419725,2500,75.45601
-1717.469509,2500,86.476413
-1895.816744,2500,97.439247
-4150.309978,2500,108.445927
-1499.357704,2500,119.329959
-1565.254202,2500,130.30651
-2350.967977,2500,141.339116
-1673.674404,2500,152.443444
-996.51474,2500,163.44739
-905.993483,2500,174.448955
-2080.793793,2500,185.363909
-1621.882106,2500,196.412742
-1172.175086,2500,207.044233
-1806.862995,2500,217.956459
-2083.418272,2500,228.780801
-1372.380194,2500,239.842293
-2722.488294,2500,250.863014
-2106.991508,2500,261.594345
-1489.441483,2500,272.408337
-1887.130438,2500,283.09604
-2664.247631,2500,293.87114
-992.282784,2500,304.723295
-1674.678802,2500,315.47107
-2108.825505,2500,325.910287
-2986.640735,2500,336.572064
-2356.104443,2500,347.219874
-1009.934303,2500,357.974344
-1569.413764,2500,368.687074
-2153.060408,2500,379.353263
-2018.927934,2500,390.125642
-2187.96977,2500,400.764694
-1422.500169,2500,411.447812
-1723.015763,2500,422.169525
-1220.07156,2500,432.750866
-1779.40688,2500,443.431038
-3253.241151,2500,453.946458
-1712.455857,2500,464.60343
-2312.103081,2500,475.256799
-1881.641832,2500,485.818641
-2489.524839,2500,496.469234
-2567.014757,2500,507.231111
-1504.622459,2500,517.955107
-1719.832773,2500,528.813595
-2516.421569,2500,539.492681
-3142.620675,2500,550.152836
-3410.758339,2500,560.774496
-1755.367856,2500,571.368838
-1513.562515,2500,581.978725
-2226.196913,2500,592.560637
-926.648323,2500,603.476839
-1434.438476,2500,614.209342
-973.991256,2500,624.871338
-1538.549271,2500,635.523653
-2443.868128,2500,646.383555
-2561.345296,2500,657.057309
-3051.959963,2500,667.960274
-4387.134835,2500,678.72079
-1915.430563,2500,689.407548
-792.336247,2500,700.143389
-1557.034551,2500,710.892048
-1686.071147,2500,721.837819
-1463.476269,2500,732.484419
-1577.960585,2500,743.111633
-1962.315029,2500,753.855005
-1915.063374,2500,764.689872
-2191.129597,2500,775.445316
-2965.382291,2500,786.208396
-2936.756173,2500,796.820759
-1459.744715,2500,807.550805
-2373.427033,2500,818.164225
-1233.97008,2500,828.689759
-1380.444891,2500,839.29604
-3315.928754,2500,850.089808
-2057.720435,2500,860.870831
-1214.235634,2500,871.585535
-1549.579773,2500,882.109283
-2435.488738,2500,892.936185
-753.978158,2500,903.696452
-2667.766004,2500,914.235943
-1397.017884,2500,924.830912
-2133.745195,2500,935.32419
-2946.952335,2500,945.862957
-2614.143962,2500,956.532251
-2187.027259,2500,967.128567
-2873.647107,2500,977.719939
-2143.416592,2500,988.421085
-1901.046089,2500,999.008943
-3693.377581,2500,1009.639603
-1474.330566,2500,1020.426544
-2671.217786,2500,1031.112008
-1293.958793,2500,1041.644589
-1842.718724,2500,1052.409025
-1750.454948,2500,1063.208844
-1510.618248,2500,1073.832377
-3464.035088,2500,1084.808906
-2530.331031,2500,1095.446478
-1963.279782,2500,1106.173114
-2901.723853,2500,1116.87083
-1244.62372,2500,1127.63719
-2015.051353,2500,1138.231452
-2974.946776,2500,1149.016094
-1567.647811,2500,1159.742349
-2290.946484,2500,1170.536325
-1241.539911,2500,1181.257607
-1457.582262,2500,1191.865201
-2323.331317,2500,1202.627802
-1717.829147,2500,1213.232602
-1644.328318,2500,1223.957767
-3391.449819,2500,1234.677165
-2723.550521,2500,1245.246139
-832.764262,2500,1255.797329
-1973.212816,2500,1266.606226
