#{"t_start": 1662503990.3392668, "env_id": "zinc-coating-v0"}
r,l,t
-2252.621132,2500,0.599494
-2721.381941,2500,7.343524
-2590.060409,2500,14.16072
-3199.53494,2500,20.917892
-2452.881319,2500,32.445332
-3167.533295,2500,43.950568
-2255.064423,2500,55.106849
-2884.84608,2500,66.371156
-2816.448133,2500,77.836554
-2455.978249,2500,89.069113
-1717.66857,2500,100.438841
-1854.642311,2500,111.744444
-2189.992767,2500,123.007537
-1894.488636,2500,134.473047
-2653.843508,2500,145.690824
-1908.658614,2500,156.900449
-2236.055758,2500,168.19569
-2996.453032,2500,179.45468
-2223.771991,2500,190.578926
-2309.568284,2500,201.872069
-1971.062506,2500,213.226547
-2400.234333,2500,224.580267
-1665.004085,2500,235.764637
-1750.562264,2500,246.947656
-2058.715432,2500,258.255098
-1774.253686,2500,269.527926
-2584.511741,2500,280.652154
-1914.951981,2500,291.829772
-1581.019591,2500,303.022831
-2325.409866,2500,314.388733
-1610.225359,2500,325.676629
-1662.844971,2500,337.051007
-2143.094027,2500,348.325704
-2034.24352,2500,359.761595
-1625.260667,2500,371.102372
-2154.506691,2500,382.374435
-1912.997371,2500,393.748431
-1912.998249,2500,404.983035
-1825.765064,2500,416.375856
-1822.140544,2500,427.528761
-1731.336459,2500,438.846333
-2102.432994,2500,449.937593
-1670.905832,2500,461.22232
-2615.941889,2500,472.492761
-1944.798893,2500,483.670691
-2571.956545,2500,494.995542
-2470.701427,2500,506.164918
-1809.023616,2500,517.297254
-1900.778177,2500,528.629836
-2025.869579,2500,539.816378
-2183.120554,2500,550.969569
-2632.820302,2500,562.177224
-2300.218605,2500,573.479495
-2023.835763,2500,584.615272
-2110.392937,2500,595.662156
-1661.307243,2500,606.879071
-2918.512736,2500,618.514296
-2270.839939,2500,629.893314
-1831.773287,2500,641.31285
-2832.819709,2500,652.811772
-1880.63014,2500,664.091471
-4203.140136,2500,675.37185
-2418.531716,2500,686.630939
-1922.737453,2500,697.690567
-2960.416133,2500,708.897665
-2390.75277,2500,720.066755
-2583.666124,2500,731.279451
-2119.589527,2500,742.514517
-2138.573919,2500,753.802161
-2464.849941,2500,764.98744
-2685.834941,2500,776.200454
-2160.204831,2500,787.28292
-2447.995293,2500,798.641751
-2331.398344,2500,809.938771
-2400.675549,2500,821.226179
-3032.768702,2500,832.513217
-1982.457929,2500,843.789789
-1863.860814,2500,855.199914
-1789.099053,2500,866.505198
-2099.642588,2500,877.785972
-2258.42955,2500,888.909859
-1957.813083,2500,900.149065
-2144.048658,2500,911.310037
-1809.202867,2500,922.692627
-1534.112803,2500,933.898422
-2110.1092,2500,944.928317
-2539.743062,2500,956.019611
-1688.160334,2500,967.253751
-2159.538391,2500,978.385911
-1698.448546,2500,989.661439
-2010.949244,2500,1001.019529
-2946.071292,2500,1012.108295
-1886.721581,2500,1023.131313
-2177.171485,2500,1034.389004
-2288.873286,2500,1045.546726
-1951.234595,2500,1056.679202
-2112.626788,2500,1067.899054
-2207.990422,2500,1079.036299
-1750.239953,2500,1090.154464
-1605.391856,2500,1101.394671
-1627.363003,2500,1112.664664
-1925.973988,2500,1123.778091
-1652.654849,2500,1134.862404
-1442.026822,2500,1145.979494
-2627.275611,2500,1157.062703
-1960.849278,2500,1168.33686
-1704.058063,2500,1179.594357
-2741.095715,2500,1190.596081
-2022.753592,2500,1201.824572
-2781.625143,2500,1213.248801
-1583.849743,2500,1224.727299
-1840.281074,2500,1236.175081
-2104.704822,2500,1247.438793
-1847.92246,2500,1258.662449
-2010.865352,2500,1269.93864
-2038.865561,2500,1281.147628
-1915.934931,2500,1292.867896
-2254.403064,2500,1304.124649
-2533.759581,2500,1315.316576
-1948.182528,2500,1326.491711
