#{"t_start": 1662499463.4579673, "env_id": "zinc-coating-v0"}
r,l,t
-2392.072849,2500,0.566269
-3242.332259,2500,7.08862
-2681.074634,2500,13.583103
-2758.15794,2500,20.139671
-2180.420523,2500,30.933714
-2016.194386,2500,41.950879
-2262.472624,2500,52.66718
-1979.171104,2500,63.397958
-1842.164958,2500,74.080502
-2032.546634,2500,84.932234
-2979.66862,2500,95.694169
-1706.695579,2500,106.419351
-1303.400198,2500,117.0745
-1702.425063,2500,127.701611
-1589.250235,2500,138.177223
-2035.308138,2500,148.54366
-1753.035147,2500,159.097764
-2054.059555,2500,169.651349
-1528.935067,2500,180.246271
-1784.335084,2500,190.780199
-1775.218572,2500,201.478735
-2152.563823,2500,212.053264
-1805.703544,2500,222.673349
-2019.218994,2500,233.232675
-2807.551468,2500,243.829834
-1803.384145,2500,254.438197
-2105.687778,2500,265.000371
-2392.181339,2500,275.427277
-1736.131608,2500,286.059305
-971.149318,2500,296.625855
-2219.043648,2500,307.199441
-1753.725811,2500,317.758659
-1523.877857,2500,328.329118
-3350.853389,2500,338.936613
-1468.18951,2500,349.464371
-2375.720618,2500,360.119492
-1626.385285,2500,370.790084
-1894.264148,2500,381.323781
-1471.780908,2500,391.87265
-2152.379132,2500,402.60728
-2621.062953,2500,413.144855
-1475.250265,2500,423.721996
-879.452738,2500,434.231628
-2036.831357,2500,444.753397
-1527.191277,2500,455.332666
-1796.355634,2500,465.991204
-1060.865519,2500,476.573399
-1979.255781,2500,487.114349
-1869.418168,2500,497.735354
-1832.975883,2500,508.222729
-2198.663102,2500,518.871506
-1510.523102,2500,529.64176
-1534.42163,2500,540.04423
-1996.272922,2500,550.547198
-1499.586737,2500,561.039313
-1900.880687,2500,571.597016
-1346.146965,2500,582.184871
-2132.66069,2500,592.770355
-2298.594055,2500,603.357377
-2726.270669,2500,614.037756
-1763.900707,2500,624.595069
-2143.973518,2500,635.071285
-1618.019142,2500,645.645785
-1527.002307,2500,656.143615
-1628.672783,2500,666.619662
-1994.932681,2500,677.202873
-2017.304367,2500,687.849819
-2857.235336,2500,698.578756
-1647.946746,2500,709.155105
-1406.691036,2500,719.778897
-1144.861315,2500,730.404111
-2198.777962,2500,740.996487
-1436.012591,2500,751.546865
-1353.640785,2500,762.429462
-1139.862716,2500,772.96499
-1589.610645,2500,783.588305
-2681.28685,2500,794.17802
-1789.486408,2500,804.681881
-1716.443077,2500,815.183845
-1886.636163,2500,825.771751
-2915.435689,2500,836.192837
-2003.952149,2500,846.749271
-1780.069128,2500,857.444203
-1776.256637,2500,867.91424
-1850.652206,2500,878.427804
-2761.411408,2500,888.907713
-2283.602182,2500,899.396333
-1906.40114,2500,910.062436
-2253.117796,2500,920.696795
-2370.487337,2500,931.130814
-2277.569412,2500,941.887851
-1729.189987,2500,952.464658
-1752.064436,2500,963.133023
-1668.047779,2500,973.60138
-1757.544116,2500,984.109301
-2330.174836,2500,994.651623
-3445.925143,2500,1005.14057
-3991.830413,2500,1015.728926
-2080.067677,2500,1026.35172
-1652.556164,2500,1036.924186
-1859.381121,2500,1047.556034
-2255.440965,2500,1058.026498
-1937.499522,2500,1068.60081
-2239.022486,2500,1079.10951
-2467.755977,2500,1089.734627
-2046.609491,2500,1100.249813
-2721.124751,2500,1110.931058
-1816.46895,2500,1121.590966
-2429.347119,2500,1132.263377
-2394.438911,2500,1142.795672
-1818.234507,2500,1153.148027
-1984.652153,2500,1163.561866
-1693.222546,2500,1174.252361
-1874.971268,2500,1184.871552
-1470.2721,2500,1195.520143
-2820.159023,2500,1206.043709
-1711.189343,2500,1216.700878
-1950.659262,2500,1227.213262
-1790.167485,2500,1237.71727
-1820.969249,2500,1248.23081
