#{"t_start": 1662552304.3823302, "env_id": "zinc-coating-v0"}
r,l,t
-2743.773236,2500,0.613537
-2545.250488,2500,7.429261
-2980.158257,2500,14.122937
-3594.749433,2500,20.781833
-2922.993234,2500,31.889302
-2192.032921,2500,42.880642
-2233.126165,2500,54.036121
-2191.181152,2500,65.141692
-1958.208288,2500,76.373459
-2052.723072,2500,87.439038
-1682.620304,2500,98.495548
-1779.924055,2500,109.444138
-1776.979929,2500,120.478052
-1701.763137,2500,131.337056
-2143.529305,2500,142.087518
-2885.415561,2500,152.885121
-1864.666724,2500,163.685803
-1989.285958,2500,174.388151
-1500.128606,2500,185.223287
-1822.908397,2500,195.998135
-1652.354565,2500,206.75052
-2469.567651,2500,217.493768
-2129.690125,2500,228.173215
-1844.449944,2500,239.038224
-1813.809269,2500,249.801165
-1580.712524,2500,260.598966
-2244.484331,2500,271.174756
-2423.689618,2500,281.924995
-1647.763361,2500,292.612568
-1864.445168,2500,303.294727
-2522.336951,2500,313.949587
-2689.440988,2500,324.900711
-1954.836143,2500,335.781878
-2066.507779,2500,346.709363
-1833.085636,2500,357.485722
-1919.365225,2500,368.232087
-1905.036677,2500,379.044011
-2018.880269,2500,389.870923
-2075.969396,2500,400.565496
-1713.684803,2500,411.314785
-1725.274756,2500,422.233632
-2466.296062,2500,433.031832
-2159.257198,2500,443.679265
-2000.615737,2500,454.361758
-1992.460424,2500,465.154283
-2240.490808,2500,475.826778
-2341.628551,2500,486.556881
-1739.352488,2500,497.12521
-3098.489289,2500,507.726708
-2820.868364,2500,518.405219
-1727.910339,2500,529.162394
-2039.136327,2500,539.939036
-1852.299587,2500,550.625343
-2005.372228,2500,561.487642
-1975.617696,2500,572.187511
-2364.695969,2500,582.949208
-2419.921013,2500,593.772317
-1990.386659,2500,604.584333
-2840.274415,2500,615.311604
-2420.740273,2500,626.099104
-2267.251952,2500,636.854368
-2773.450013,2500,647.660583
-2259.575182,2500,658.426537
-1902.113143,2500,669.306293
-2280.829908,2500,680.093586
-2380.991944,2500,690.900765
-1898.658603,2500,701.581957
-2257.958055,2500,712.348676
-2279.795013,2500,723.174564
-2305.597267,2500,733.927657
-2573.986738,2500,744.608973
-2448.915352,2500,755.407719
-2038.178222,2500,766.161815
-2152.241926,2500,776.748246
-1894.621498,2500,787.522235
-3012.826729,2500,798.184352
-1929.443478,2500,808.910895
-3220.53521,2500,819.766473
-3790.54031,2500,830.508321
-2852.726062,2500,841.222861
-2015.865162,2500,851.79152
-1821.508668,2500,862.470892
-2115.680358,2500,873.200571
-2448.807431,2500,883.807881
-2368.447424,2500,894.522796
-2149.518041,2500,905.22056
-2802.790911,2500,915.759543
-2564.418969,2500,926.390892
-2105.331693,2500,937.098939
-2331.80733,2500,947.632838
-2870.912816,2500,958.480311
-2815.618071,2500,969.192628
-2223.894578,2500,979.998098
-1843.154989,2500,990.777365
-2562.616325,2500,1001.565704
-2371.508364,2500,1012.40772
-2779.448052,2500,1023.375744
-2697.128551,2500,1034.168625
-2056.825526,2500,1044.677929
-2084.590797,2500,1055.283409
-2418.568579,2500,1066.229328
-2168.404435,2500,1076.873921
-2486.576073,2500,1087.497537
-2087.17111,2500,1098.293049
-2904.048116,2500,1108.995794
-2459.083277,2500,1119.495287
-2386.114585,2500,1130.172283
-2252.023043,2500,1140.957432
-2085.10553,2500,1151.653292
-2854.846821,2500,1162.117555
-2074.858234,2500,1172.824508
-2327.330682,2500,1183.590428
-2169.081386,2500,1194.313181
-2218.596681,2500,1205.044422
-2949.119196,2500,1215.627462
-2657.483754,2500,1226.29538
-2351.199433,2500,1236.962422
-1862.681083,2500,1247.700888
-2384.607249,2500,1258.28372
-2070.442812,2500,1268.924823
