#{"t_start": 1662533679.7235162, "env_id": "zinc-coating-v0"}
r,l,t
-3476.809997,2500,0.600665
-2631.14847,2500,7.420318
-3091.860883,2500,14.12593
-3556.161169,2500,20.949755
-2892.439567,2500,38.322962
-3382.353518,2500,55.742569
-1725.12202,2500,73.32377
-2257.952415,2500,90.665353
-2057.293777,2500,107.89898
-2505.142501,2500,125.161233
-1981.945361,2500,142.615128
-1907.922952,2500,159.678437
-1802.160867,2500,177.054321
-2035.648678,2500,194.343879
-2387.397157,2500,211.499057
-1795.953436,2500,228.62091
-1767.036078,2500,245.966719
-2474.437804,2500,263.213161
-1896.373129,2500,280.5072
-2740.427916,2500,297.866054
-2030.244051,2500,315.354929
-2435.73538,2500,332.773297
-1864.375627,2500,350.069079
-1886.226606,2500,367.198486
-2057.49495,2500,384.523284
-1647.798186,2500,401.752964
-1900.753994,2500,418.794925
-1409.07185,2500,436.181693
-1799.041453,2500,453.358784
-2000.581654,2500,470.621419
-1657.687144,2500,487.787547
-1412.023335,2500,505.107956
-1459.326177,2500,522.470949
-1899.037954,2500,539.561183
-1512.768421,2500,556.875408
-1363.542401,2500,574.066467
-1987.923956,2500,591.518789
-1807.3865,2500,608.749759
-1589.319433,2500,626.003428
-1893.347374,2500,643.113696
-2177.920933,2500,660.320735
-1107.380438,2500,677.440966
-1501.123708,2500,694.782961
-2001.089832,2500,712.049866
-1754.360523,2500,729.138795
-1470.733861,2500,746.337373
-1595.114632,2500,763.388515
-3158.655175,2500,780.603057
-1676.928144,2500,797.810364
-1172.592376,2500,815.072469
-1892.122319,2500,832.136803
-1758.286995,2500,849.569726
-1895.317507,2500,866.891352
-1589.956545,2500,884.128921
-1384.370882,2500,901.284226
-1500.645539,2500,918.522349
-1033.145477,2500,935.851459
-1469.551467,2500,952.824378
-938.112407,2500,969.963799
-2889.013197,2500,987.093518
-1661.909395,2500,1004.406976
-1459.466103,2500,1021.648962
-1494.452218,2500,1038.788657
-1807.9013,2500,1055.935346
-1168.40964,2500,1073.102607
-1823.371957,2500,1090.286898
-1462.336112,2500,1107.52722
-1974.448721,2500,1124.753374
-2326.350396,2500,1141.718925
-1255.073581,2500,1158.95725
-1133.343402,2500,1176.015191
-1507.52403,2500,1193.09961
-1284.055853,2500,1210.358482
-1087.147318,2500,1227.544721
-1703.415449,2500,1244.807197
-1983.584755,2500,1262.145898
-1136.46477,2500,1279.198526
-2758.490021,2500,1296.500993
-1224.604954,2500,1313.736597
-2035.767381,2500,1330.876394
-2048.271247,2500,1348.122655
-965.638774,2500,1365.069632
-1743.551565,2500,1382.42146
-1756.773864,2500,1399.845655
-1931.272199,2500,1417.110748
-2181.839593,2500,1434.265649
-1830.483633,2500,1451.51944
-1232.255771,2500,1468.665246
-1422.056863,2500,1485.866882
-2049.674234,2500,1502.95682
-2280.421839,2500,1520.046926
-1442.914223,2500,1537.085307
-1885.532259,2500,1554.31889
-1450.648387,2500,1571.557115
-1612.388209,2500,1588.759342
-1411.47241,2500,1605.962154
-1561.839277,2500,1623.205976
-3059.95024,2500,1640.416986
-1450.690257,2500,1657.843224
-1279.596922,2500,1675.128759
-1582.820664,2500,1692.230963
-1822.598788,2500,1709.624793
-1045.121181,2500,1726.911372
-1327.180279,2500,1744.150339
-1237.721266,2500,1761.259057
-1486.96474,2500,1778.865703
-1294.534939,2500,1796.103257
-1376.832281,2500,1813.25738
-1347.942883,2500,1830.882974
-1267.497564,2500,1847.917481
-875.358381,2500,1865.107352
-2616.768373,2500,1882.417392
-1774.574683,2500,1899.611509
-1833.23527,2500,1916.717217
-1136.531301,2500,1934.091324
-1212.733587,2500,1951.129597
-1907.456672,2500,1968.542313
-1912.355432,2500,1985.693151
-1301.540893,2500,2002.995279
-1584.844364,2500,2020.17757
