#{"t_start": 1662488831.1246054, "env_id": "zinc-coating-v0"}
r,l,t
-2382.369111,2500,0.552926
-3176.679586,2500,7.016494
-2464.117628,2500,13.411513
-2994.704572,2500,19.773474
-2572.970443,2500,30.586895
-2178.678583,2500,41.237329
-1702.100723,2500,52.006289
-1868.327384,2500,62.686558
-2724.720878,2500,73.390889
-2708.992414,2500,83.999151
-2022.562553,2500,94.63222
-2004.669898,2500,105.397028
-2418.263184,2500,116.007584
-1852.702367,2500,126.67733
-1752.617064,2500,137.506374
-1939.859731,2500,148.197499
-2380.31818,2500,158.88834
-2157.300826,2500,169.656342
-4002.717024,2500,180.538803
-2702.298614,2500,191.157131
-1362.686785,2500,201.831267
-1120.868793,2500,212.523561
-1293.483174,2500,223.277563
-1594.79419,2500,234.100003
-1803.06704,2500,244.86082
-1142.057037,2500,255.517
-730.999418,2500,266.298974
-2439.20095,2500,276.957848
-1708.77394,2500,287.664704
-4091.904157,2500,298.426417
-3275.529304,2500,309.043263
-4020.270695,2500,319.823608
-3225.455798,2500,330.485027
-2520.383269,2500,341.16779
-1900.167277,2500,351.908589
-3785.931503,2500,362.517057
-2346.812689,2500,373.11613
-2240.15021,2500,383.813448
-2596.568399,2500,394.549227
-1406.479208,2500,405.131485
-1431.460582,2500,415.835793
-2112.487877,2500,426.49245
-1804.181261,2500,437.126079
-2746.042786,2500,447.759195
-2368.742806,2500,458.462184
-1685.432533,2500,469.044404
-1699.490039,2500,479.858742
-4421.61036,2500,490.670125
-1479.692666,2500,501.464979
-2163.213433,2500,512.164248
-2857.478255,2500,522.887192
-2408.782249,2500,533.644211
-2004.164873,2500,544.352459
-2804.102116,2500,555.015292
-1926.252121,2500,565.774517
-3377.754397,2500,576.439484
-2632.272319,2500,587.426858
-2236.354572,2500,598.171517
-2216.439284,2500,608.827009
-1286.390153,2500,619.525872
-2262.915985,2500,629.94409
-1600.633475,2500,640.646823
-1186.214521,2500,651.101803
-1919.675279,2500,661.35312
-2090.541828,2500,671.675285
-4266.947816,2500,681.857323
-3063.913296,2500,692.04914
-3871.363952,2500,702.383167
-1938.693077,2500,712.866902
-1832.729642,2500,723.227045
-3435.193948,2500,733.615287
-4432.423556,2500,744.066727
-2891.018629,2500,754.428823
-2668.148199,2500,764.715244
-2330.347757,2500,775.165846
-1852.045078,2500,785.517273
-1736.84688,2500,795.787904
-2290.078143,2500,806.039397
-4205.807558,2500,816.281479
-2006.160459,2500,826.670771
-2834.551117,2500,837.228186
-2523.246468,2500,847.633232
-3188.81444,2500,857.865789
-2551.380195,2500,868.364381
-1006.009049,2500,878.781651
-2220.616767,2500,889.039021
-2727.833362,2500,899.476994
-2018.232298,2500,909.750986
-2499.658167,2500,920.194814
-1330.257197,2500,930.578967
-2690.708113,2500,940.828118
-2096.04182,2500,951.249829
-2714.945405,2500,961.584594
-1686.317596,2500,971.752419
-3332.346733,2500,982.091306
-3428.680496,2500,992.487807
-1479.87748,2500,1003.02323
-1736.050433,2500,1013.5533
-2487.025507,2500,1023.812747
-1858.297813,2500,1034.088268
-2606.126123,2500,1044.406582
-1654.368062,2500,1054.50091
-2879.383291,2500,1064.600463
-1447.148083,2500,1075.099837
-2393.168764,2500,1085.556394
-3168.96329,2500,1095.934342
-1193.35971,2500,1106.404689
-2183.259614,2500,1116.862013
-3152.590836,2500,1127.059855
-1718.138085,2500,1137.344752
-1878.617021,2500,1147.823738
-1886.298526,2500,1158.263018
-2230.04048,2500,1168.669645
-2406.75381,2500,1178.965509
-1632.262405,2500,1189.342348
-1841.69454,2500,1199.741523
-2926.027397,2500,1210.150617
-3544.389412,2500,1220.646205
-3041.403114,2500,1230.914337
-1362.457331,2500,1241.219248
