#{"t_start": 1662472306.31749, "env_id": "zinc-coating-v0"}
r,l,t
-3024.777722,2500,0.569328
-3702.037265,2500,7.280789
-3140.865936,2500,13.868052
-3034.749517,2500,20.455595
-2133.05803,2500,31.254017
-2906.240186,2500,42.071392
-1581.736755,2500,52.937555
-2318.915361,2500,63.727651
-1586.275115,2500,74.552599
-2643.08403,2500,85.476798
-2893.632331,2500,96.119833
-1166.374761,2500,106.882773
-2612.162477,2500,117.715074
-1215.134158,2500,128.445797
-2717.770856,2500,139.486053
-2027.671336,2500,150.217647
-3716.65692,2500,161.081212
-3382.40929,2500,171.959242
-1770.840583,2500,182.940194
-1114.214515,2500,193.74109
-1332.28435,2500,204.634623
-2190.313442,2500,215.532375
-2464.896035,2500,226.39515
-2479.190667,2500,237.295916
-2613.604636,2500,248.374763
-1613.233901,2500,259.443721
-3260.102796,2500,270.468083
-2336.736213,2500,281.340199
-3489.432197,2500,292.248649
-2513.698739,2500,303.083696
-2130.370489,2500,313.939077
-2786.651485,2500,324.942876
-1967.51605,2500,335.669999
-1802.288941,2500,346.448305
-2278.221273,2500,357.355782
-1193.633302,2500,368.252159
-2651.616184,2500,379.165468
-2683.019875,2500,389.782537
-4216.095956,2500,400.475209
-1833.769513,2500,411.111791
-1724.438126,2500,421.777399
-2352.471019,2500,432.321143
-2480.23719,2500,442.817792
-2770.626531,2500,453.293798
-1378.523945,2500,463.663452
-2084.400595,2500,474.094967
-2641.85443,2500,484.357561
-911.590559,2500,494.705737
-3543.119378,2500,505.485774
-3293.865774,2500,516.326403
-2166.407293,2500,526.9412
-2218.780636,2500,537.657782
-3451.842811,2500,548.357447
-2391.15423,2500,559.016335
-1705.271596,2500,569.770597
-1101.7634,2500,580.376912
-3541.594036,2500,591.022751
-1450.656504,2500,601.786038
-1906.101543,2500,612.316423
-1526.055128,2500,622.940455
-3300.121644,2500,633.58989
-1907.584113,2500,644.143612
-2200.625075,2500,654.743939
-2109.909672,2500,665.455355
-1464.839636,2500,676.033065
-2202.735771,2500,686.640757
-1459.983444,2500,697.181733
-1387.808327,2500,707.716396
-3075.072848,2500,718.349026
-3553.302757,2500,729.103866
-1791.9998,2500,739.65525
-1300.305107,2500,750.367316
-1787.96698,2500,760.978871
-2098.998639,2500,771.668594
-3741.538648,2500,782.260305
-3946.023916,2500,792.847705
-2012.622104,2500,803.533166
-1869.663334,2500,813.883731
-1677.122207,2500,824.417478
-3340.12505,2500,834.940952
-3306.079946,2500,845.510769
-2856.292409,2500,856.211126
-3222.062843,2500,866.669341
-1121.230348,2500,877.159583
-1241.819931,2500,887.660981
-2613.632586,2500,898.102312
-4114.091816,2500,908.668753
-2078.930655,2500,919.165233
-949.081195,2500,929.72842
-3588.138113,2500,940.232198
-2610.107812,2500,950.681645
-1932.391116,2500,961.412096
-2534.890099,2500,971.924268
-2255.378287,2500,982.469817
-3026.439324,2500,992.86973
-2324.498561,2500,1003.475396
-3157.05357,2500,1014.005952
-827.08459,2500,1024.628666
-2841.334677,2500,1035.28556
-2557.19645,2500,1046.038224
-2712.383471,2500,1056.465231
-3439.681067,2500,1066.983052
-1649.256705,2500,1077.42622
-1955.567043,2500,1087.894474
-2066.127908,2500,1098.43818
-2231.003011,2500,1109.057798
-3840.020049,2500,1119.655488
-1477.142227,2500,1130.216948
-3989.622127,2500,1140.804383
-1332.705907,2500,1151.197339
-3264.38284,2500,1161.81664
-1283.187156,2500,1172.759908
-2149.620568,2500,1183.596795
-2222.541248,2500,1194.334513
-1873.331835,2500,1205.495313
-2857.567284,2500,1216.424334
-3176.385837,2500,1227.342373
-1685.105076,2500,1238.021552
-1275.340209,2500,1249.245864
-1935.405056,2500,1260.061286
