#{"t_start": 1662521797.815278, "env_id": "zinc-coating-v0"}
r,l,t
-3178.611518,2500,0.571898
-2298.795647,2500,7.05911
-2889.801682,2500,13.614675
-2747.740247,2500,20.188799
-2293.948062,2500,31.169489
-2376.442681,2500,42.058326
-1820.173902,2500,52.929464
-1679.877182,2500,63.857588
-1435.721476,2500,74.730491
-1535.078879,2500,85.643817
-3031.166849,2500,96.571572
-1747.654574,2500,107.393252
-1897.358528,2500,118.351266
-3917.445446,2500,129.07094
-2878.946702,2500,139.988276
-2507.216235,2500,150.772413
-3534.199538,2500,161.861309
-3651.444423,2500,172.760062
-1988.781607,2500,183.684509
-1773.9722,2500,194.421355
-2264.912268,2500,205.519384
-3370.312088,2500,216.42436
-1633.526641,2500,227.267927
-1884.648961,2500,238.195602
-4070.665617,2500,249.027695
-1660.015833,2500,259.857748
-2123.820031,2500,270.529011
-1723.963498,2500,281.451625
-1552.081928,2500,292.256876
-1884.337406,2500,303.112245
-2358.626226,2500,313.853245
-2797.8444,2500,324.751685
-3044.001874,2500,335.690722
-3678.137863,2500,346.54799
-2871.447068,2500,357.437886
-1204.688049,2500,368.262582
-2585.370921,2500,378.9802
-1583.876336,2500,389.929154
-1470.310491,2500,400.983324
-1494.073712,2500,411.810972
-4086.139534,2500,422.861558
-1502.554697,2500,433.798461
-2895.777497,2500,444.73458
-4620.208077,2500,455.697261
-1888.071398,2500,466.657148
-1611.691683,2500,477.557715
-2646.78425,2500,488.350035
-1846.353742,2500,499.264704
-3725.297841,2500,510.247306
-1538.135809,2500,520.982783
-2746.166011,2500,531.933813
-1615.580865,2500,542.865378
-4151.28332,2500,553.724724
-2099.277986,2500,564.704573
-1522.306028,2500,575.502754
-3102.968566,2500,586.282026
-1822.519639,2500,597.232347
-1801.223303,2500,607.99297
-2815.328769,2500,618.838003
-2145.541026,2500,629.650266
-2238.396426,2500,640.539119
-1915.954429,2500,651.362619
-2861.26871,2500,662.209321
-2449.647216,2500,672.937692
-2028.931379,2500,683.618688
-2744.02409,2500,694.413949
-2369.17504,2500,705.122481
-1591.978845,2500,715.668329
-2774.964791,2500,726.25078
-2419.769807,2500,736.681799
-2329.31701,2500,747.285042
-1393.480586,2500,757.780521
-3064.230597,2500,768.474825
-1848.3416,2500,779.057141
-2013.271896,2500,789.552593
-1566.888782,2500,800.130322
-898.690923,2500,810.999894
-2172.88604,2500,821.662686
-1363.449696,2500,832.41837
-3128.802313,2500,843.107768
-1565.409038,2500,853.637973
-2067.817976,2500,864.350079
-1564.803754,2500,875.093553
-2360.794737,2500,885.94367
-1788.434871,2500,896.683016
-1777.891765,2500,907.507513
-1934.278563,2500,918.261403
-2643.857662,2500,928.990585
-2501.060713,2500,939.770214
-1549.370717,2500,950.278599
-3122.800095,2500,960.862265
-2095.53238,2500,971.379984
-4095.35882,2500,981.951103
-1949.609962,2500,992.347812
-3885.320818,2500,1002.874046
-3043.921749,2500,1013.447113
-2394.881315,2500,1023.984089
-3286.314554,2500,1034.39347
-3424.264569,2500,1045.019716
-2733.208904,2500,1055.495229
-1920.42584,2500,1065.941577
-3213.856593,2500,1076.402314
-1570.069499,2500,1086.92452
-1675.7195,2500,1097.224166
-3185.361696,2500,1107.891514
-1505.723475,2500,1118.456791
-2433.842726,2500,1129.04339
-1910.21615,2500,1139.524692
-1914.839986,2500,1149.970067
-3922.922358,2500,1160.406172
-1592.52148,2500,1170.776006
-1309.146926,2500,1181.219659
-2784.218816,2500,1191.825784
-2575.632519,2500,1202.238922
-4029.159853,2500,1212.756827
-1973.686083,2500,1223.201837
-1597.856057,2500,1233.6952
-2298.785817,2500,1244.08366
-1030.264192,2500,1254.588484
-1701.65279,2500,1265.049387
