#{"t_start": 1662509093.2403643, "env_id": "zinc-coating-v0"}
r,l,t
-2703.720225,2500,0.6012
-2839.566526,2500,7.278336
-3764.450202,2500,14.008793
-2243.148446,2500,20.722831
-2892.773969,2500,31.779016
-2294.892277,2500,42.865773
-2263.339615,2500,53.901157
-1751.408449,2500,64.816544
-1918.427925,2500,76.061014
-1971.115974,2500,87.240003
-1938.982804,2500,98.26567
-1855.761176,2500,109.2426
-1731.943005,2500,120.384319
-3186.140803,2500,131.541415
-1843.271432,2500,142.471008
-1733.516329,2500,153.4798
-2213.330212,2500,164.388074
-1882.223003,2500,175.415249
-1505.18769,2500,186.451951
-2097.437775,2500,197.538511
-1694.582554,2500,208.496775
-1658.83343,2500,219.444025
-1997.34787,2500,230.487564
-1651.865189,2500,241.399269
-3367.39011,2500,252.506758
-1221.763752,2500,263.499813
-1179.294865,2500,274.49253
-2347.871286,2500,285.649308
-1233.663286,2500,296.722301
-1512.846168,2500,307.673371
-1660.712277,2500,318.836047
-1719.958557,2500,329.664535
-1717.738555,2500,340.683755
-1577.244659,2500,351.69846
-1131.084159,2500,362.776669
-2965.798572,2500,373.871301
-1726.611474,2500,384.961839
-1404.578768,2500,395.949121
-1744.653354,2500,406.836208
-1560.274156,2500,417.752636
-1851.236703,2500,428.907562
-1946.137809,2500,439.819798
-1243.142674,2500,450.772817
-1346.827612,2500,461.596083
-1714.796034,2500,472.363345
-2156.739573,2500,483.219038
-3182.018267,2500,494.099798
-1528.28232,2500,504.939633
-3588.229507,2500,515.594775
-2323.001079,2500,526.274141
-2269.980874,2500,536.959743
-1779.885807,2500,547.695232
-1861.731693,2500,558.439936
-1429.909478,2500,569.158071
-1515.123372,2500,579.910778
-2356.244511,2500,590.714646
-1473.58739,2500,601.294269
-2972.279437,2500,612.021184
-1847.325231,2500,622.619488
-1520.710635,2500,633.214246
-1689.781684,2500,643.938029
-2001.973021,2500,654.58572
-1859.764522,2500,665.186667
-1445.589374,2500,676.070562
-1402.987375,2500,686.963229
-3165.663133,2500,697.743698
-1256.976001,2500,708.461678
-1476.778333,2500,719.877572
-2203.061568,2500,730.743318
-1370.537251,2500,741.574265
-1309.491383,2500,752.287182
-1932.99775,2500,762.890064
-1582.623716,2500,773.657219
-1948.758715,2500,784.464998
-1954.175452,2500,795.23455
-2893.918093,2500,805.995731
-1565.867715,2500,816.732203
-1615.290538,2500,827.513797
-1723.69502,2500,838.126182
-2129.364924,2500,848.808358
-1458.123575,2500,859.575423
-2055.297271,2500,870.259718
-1650.596518,2500,881.021101
-3280.491673,2500,891.617704
-1969.104148,2500,902.324319
-1555.377126,2500,913.201995
-1734.481709,2500,923.855847
-2452.71061,2500,934.612397
-3787.159374,2500,945.38131
-1646.840143,2500,956.094708
-2457.816539,2500,966.873709
-1509.438744,2500,977.606404
-2032.623323,2500,988.24984
-1555.08166,2500,998.96618
-1534.74577,2500,1009.671246
-1792.125779,2500,1020.392655
-1547.962936,2500,1031.177911
-2025.984617,2500,1041.984139
-2365.994257,2500,1052.76948
-1926.476879,2500,1063.434235
-2255.936446,2500,1074.092045
-1814.253616,2500,1084.817938
-1605.905487,2500,1095.418875
-1437.680763,2500,1106.035093
-1822.442078,2500,1116.754996
-1182.041255,2500,1127.471855
-2077.320929,2500,1138.177273
-1539.629431,2500,1148.93542
-2287.95102,2500,1159.586352
-1690.840924,2500,1170.227229
-1598.906752,2500,1180.939938
-2311.887268,2500,1191.735387
-1453.862028,2500,1202.44607
-1907.034451,2500,1213.231622
-1386.617623,2500,1223.931971
-1643.541999,2500,1234.427271
-1140.625989,2500,1245.12684
-1653.102812,2500,1255.861456
-1215.047138,2500,1266.525197
-1486.654948,2500,1277.338537
