#{"t_start": 1662536967.3323464, "env_id": "zinc-coating-v0"}
r,l,t
-2961.617124,2500,0.635337
-3152.660811,2500,7.483745
-2999.435263,2500,14.319216
-3418.9189,2500,21.109164
-4215.159844,2500,32.662328
-3119.146178,2500,44.415745
-2643.367513,2500,56.102024
-2424.151768,2500,67.40423
-3338.901483,2500,79.031103
-2399.63053,2500,90.435455
-2354.688095,2500,101.87676
-2556.778262,2500,113.255452
-2295.779191,2500,124.572794
-1947.523864,2500,135.910838
-2152.968231,2500,147.266325
-1915.175746,2500,158.669002
-2464.280123,2500,170.053359
-2130.739387,2500,181.590265
-2158.057966,2500,193.192706
-2771.395494,2500,204.436517
-2602.206065,2500,215.907297
-2265.309713,2500,227.298322
-2149.667537,2500,238.583544
-1861.799594,2500,249.801806
-2568.479246,2500,261.051918
-2180.430339,2500,272.594336
-2466.178854,2500,283.982706
-1833.559637,2500,295.355019
-1849.636402,2500,306.732833
-2617.047506,2500,318.082142
-2295.703389,2500,329.387001
-1808.929171,2500,340.815524
-1977.504031,2500,352.188118
-2136.121663,2500,363.70024
-2097.130967,2500,375.15108
-2678.448297,2500,386.684481
-1887.687618,2500,398.27962
-2203.375252,2500,409.856364
-2125.568978,2500,421.184529
-1995.712111,2500,432.579222
-2410.630119,2500,444.196593
-2225.917894,2500,455.914354
-2615.674587,2500,467.209034
-2173.548071,2500,478.743142
-2196.133243,2500,490.150393
-2188.576223,2500,501.46664
-2402.723497,2500,512.892143
-2442.172922,2500,524.229367
-2757.422553,2500,535.453483
-2475.650394,2500,546.792465
-1686.086328,2500,558.139403
-2109.999185,2500,569.379559
-3075.170382,2500,580.654886
-2620.228145,2500,592.062211
-1904.788228,2500,603.389824
-2307.244295,2500,614.868696
-1871.246375,2500,626.283733
-1947.552959,2500,638.088366
-1822.637067,2500,649.502648
-1707.680208,2500,660.803572
-2477.570594,2500,672.225635
-2549.202149,2500,683.707435
-2139.785331,2500,695.289843
-2567.976351,2500,706.492327
-2244.885081,2500,717.901444
-2331.650639,2500,729.331724
-2446.420262,2500,740.725197
-2482.451166,2500,752.254263
-2458.497153,2500,763.68808
-1686.885282,2500,775.042235
-2520.151564,2500,786.496214
-1539.204259,2500,797.869377
-2066.432064,2500,809.320791
-1983.699151,2500,820.676904
-1908.387909,2500,831.88388
-2455.908354,2500,843.223854
-1914.339893,2500,854.664892
-2639.903968,2500,865.952908
-2154.912617,2500,877.485908
-2237.460861,2500,888.867082
-2803.00431,2500,900.139079
-1912.515202,2500,911.632671
-1800.8016,2500,922.903273
-1962.520642,2500,934.39232
-1731.394676,2500,945.957577
-2507.844497,2500,957.435154
-2076.089003,2500,968.878744
-2172.871118,2500,980.373775
-2318.586076,2500,991.852207
-2158.182452,2500,1003.128851
-1724.726843,2500,1014.88935
-1874.805421,2500,1026.344918
-3250.039005,2500,1037.748649
-1635.997276,2500,1049.232989
-2064.317418,2500,1060.581938
-2337.734113,2500,1071.976772
-2003.129419,2500,1083.474542
-2091.999256,2500,1094.776127
-2326.406084,2500,1106.236752
-1812.206645,2500,1117.823593
-1956.842649,2500,1129.119
-2643.825301,2500,1140.260567
-2180.33249,2500,1151.406715
-2240.235464,2500,1162.767488
-1909.358352,2500,1174.136333
-1758.310978,2500,1185.485353
-2395.516451,2500,1196.834398
-2354.574215,2500,1208.160028
-2234.391401,2500,1219.431313
-2773.458648,2500,1230.797961
-2962.942706,2500,1242.022893
-3501.538707,2500,1253.327023
-2473.474312,2500,1264.688276
-2094.478907,2500,1275.932352
-2436.553661,2500,1287.118793
-2422.34147,2500,1298.499439
-2366.534049,2500,1309.853422
-2590.732287,2500,1321.342594
-2058.496595,2500,1332.628115
-1949.069936,2500,1344.128217
