#{"t_start": 1662474839.8645926, "env_id": "zinc-coating-v0"}
r,l,t
-4164.003029,2500,0.569455
-2715.863628,2500,7.297199
-2873.760764,2500,14.035952
-3225.889267,2500,20.632818
-2532.728759,2500,31.595983
-2675.401774,2500,42.708246
-1646.438708,2500,53.800345
-2430.408296,2500,64.823619
-1684.925222,2500,75.726848
-2707.904412,2500,86.517741
-1486.960851,2500,97.397678
-4338.489461,2500,108.141115
-1725.695164,2500,118.934726
-1603.040099,2500,129.681527
-2724.172261,2500,140.522957
-1471.865092,2500,151.284217
-3211.210494,2500,162.061694
-1764.981884,2500,172.769745
-2089.69778,2500,183.744047
-3071.763033,2500,194.42626
-1398.433452,2500,205.304698
-3062.862409,2500,215.931273
-2624.944914,2500,226.654469
-2148.465759,2500,237.327367
-1583.685129,2500,248.092631
-1728.095033,2500,258.71751
-2719.214182,2500,269.452682
-1756.147752,2500,280.110224
-1914.675132,2500,290.81589
-1856.631352,2500,301.495185
-1351.470367,2500,312.260489
-1243.065504,2500,322.999685
-1811.960758,2500,333.851674
-1419.719712,2500,344.541476
-1438.570066,2500,355.247589
-2592.551142,2500,366.05341
-1871.217888,2500,376.917058
-974.230961,2500,387.536262
-1560.400587,2500,398.503259
-2081.596742,2500,409.146901
-2695.798294,2500,419.747432
-2605.574041,2500,430.587998
-2369.126662,2500,441.324933
-1684.172296,2500,451.891259
-3141.453895,2500,462.515171
-2726.000527,2500,473.205373
-1210.51756,2500,484.192459
-2040.313102,2500,494.852824
-1556.595328,2500,505.615662
-2430.635846,2500,516.240235
-1233.26377,2500,526.865499
-1698.823576,2500,537.654473
-1470.162289,2500,548.466419
-4532.65067,2500,559.05012
-2518.475915,2500,569.675722
-2096.03172,2500,580.307807
-938.882773,2500,590.986348
-1740.263743,2500,601.566044
-1321.249721,2500,612.345368
-1461.783072,2500,623.078945
-1488.899616,2500,633.825198
-4229.531533,2500,644.532653
-3299.296452,2500,655.241601
-1893.098639,2500,666.068775
-3767.040852,2500,676.864972
-1156.831235,2500,687.545927
-2579.368001,2500,698.341284
-3597.385079,2500,709.038094
-1807.301698,2500,719.62857
-2095.164525,2500,730.445403
-2114.759073,2500,741.058872
-4280.006281,2500,751.810882
-1366.002613,2500,762.441799
-2737.230816,2500,773.148712
-4138.127879,2500,783.957415
-3216.164853,2500,794.713014
-3554.099265,2500,805.338997
-1538.772645,2500,815.93136
-1192.719239,2500,826.595756
-1507.543899,2500,837.370407
-1520.593769,2500,848.181804
-1989.790025,2500,858.774945
-2821.708179,2500,869.58856
-1441.465902,2500,880.341891
-791.861427,2500,890.974585
-3275.626448,2500,901.774806
-2043.642737,2500,912.520218
-3206.896316,2500,923.155846
-2448.426869,2500,933.904815
-3669.130598,2500,944.63005
-1980.942703,2500,955.341174
-2158.891829,2500,966.42716
-1151.774741,2500,977.370616
-2594.850535,2500,988.149229
-1404.749003,2500,998.800708
-2042.083784,2500,1009.564487
-1328.885779,2500,1020.184455
-1287.641977,2500,1030.904852
-2438.354816,2500,1041.710144
-1888.857268,2500,1052.423779
-2412.571985,2500,1063.025408
-1184.228191,2500,1073.58899
-2430.291883,2500,1084.323179
-2654.785969,2500,1095.021416
-1998.923976,2500,1105.601522
-3554.754484,2500,1116.338049
-2361.534499,2500,1126.934212
-2077.589354,2500,1137.57229
-2600.631596,2500,1148.473104
-1283.253869,2500,1159.271813
-3257.272393,2500,1170.244094
-1980.042781,2500,1180.931959
-1890.257553,2500,1191.743249
-919.299773,2500,1202.546916
-2292.146546,2500,1213.12552
-1683.550706,2500,1223.873351
-2131.660838,2500,1234.615524
-2811.806918,2500,1245.390392
-1419.66296,2500,1256.123159
-1806.999256,2500,1266.977629
